amplicon	ERR0000001	ERR0000002	ERR0000003	total
ERR2:152560.715450	0	4	0	4
ERR2:1540.703911	0	4	0	4
ERR2:16110.739965	0	4	0	4
ERR2:165190.723045	0	4	0	4
ERR2:166540.699446	0	4	0	4
ERR2:1670.744256	0	4	0	4
ERR2:181020.719707	0	4	0	4
ERR2:18550.704365	0	4	0	4
ERR2:185600.720816	0	4	0	4
ERR2:194700.733101	0	4	0	4
ERR2:197420.698325	0	4	0	4
ERR2:203340.728491	0	4	0	4
ERR2:204650.735368	0	4	0	4
ERR2:216450.721504	0	4	0	4
ERR2:216990.742942	0	4	0	4
ERR2:221460.692280	0	4	0	4
ERR2:231780.729209	0	4	0	4
ERR2:233260.727372	0	4	0	4
ERR2:239270.736717	0	4	0	4
ERR2:239800.726201	0	4	0	4
ERR2:241870.721205	0	4	0	4
ERR2:255710.731031	0	4	0	4
ERR2:279380.733381	0	4	0	4
ERR2:283610.732795	0	4	0	4
ERR2:294010.705492	0	4	0	4
ERR2:308960.735743	0	4	0	4
ERR2:31560.737595	0	4	0	4
ERR2:323910.712998	0	4	0	4
ERR2:33000.740206	0	4	0	4
ERR2:3320.736393	0	4	0	4
ERR2:357110.731579	0	4	0	4
ERR2:370640.735961	0	4	0	4
ERR2:37750.726258	0	4	0	4
ERR2:386200.729658	0	4	0	4
ERR2:38640.732029	0	4	0	4
ERR2:40150.735357	0	4	0	4
ERR2:454140.719711	0	4	0	4
ERR2:462130.737458	0	4	0	4
ERR2:477850.735536	0	4	0	4
ERR2:48700.681649	0	4	0	4
ERR2:498610.735931	0	4	0	4
ERR2:49870.719292	0	4	0	4
ERR2:50300.687796	0	4	0	4
ERR2:504070.706268	0	4	0	4
ERR2:5160.699811	0	4	0	4
ERR2:549860.698418	0	4	0	4
ERR2:55410.735145	0	4	0	4
ERR2:57500.698174	0	4	0	4
ERR2:59250.711739	0	4	0	4
ERR2:64780.731234	0	4	0	4
ERR2:68280.712693	0	4	0	4
ERR2:69220.698538	0	4	0	4
ERR2:70530.705848	0	4	0	4
ERR2:71090.692218	0	4	0	4
ERR2:71930.738514	0	4	0	4
ERR2:72410.697517	0	4	0	4
ERR2:73740.728300	0	4	0	4
ERR2:73810.731060	0	4	0	4
ERR2:74280.726704	0	4	0	4
ERR2:77870.737654	0	4	0	4
ERR2:78240.718748	0	4	0	4
ERR2:78520.734528	0	4	0	4
ERR2:80280.720443	0	4	0	4
ERR2:83820.727914	0	4	0	4
ERR2:95880.745023	0	4	0	4
ERR2:96840.696181	0	4	0	4
ERR2:99410.737511	0	4	0	4
ERR2:9950.721774	0	4	0	4
ERR3:134860.686189	0	0	4	4
ERR3:134980.694753	0	0	4	4
ERR3:162350.668575	0	0	4	4
ERR3:195740.728508	0	0	4	4
ERR3:232670.662711	0	0	4	4
ERR3:240350.712074	0	0	4	4
ERR3:246010.719759	0	0	4	4
ERR3:27760.667641	0	0	4	4
ERR3:289220.688509	0	0	4	4
