OTU	ERR0000001	ERR0000002	ERR0000003	classification
ERR1:96210.718909	29	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:240870.724728	0	29	0	Eukaryota;Arthropoda;Insecta;Mecoptera;Panorpidae;Sinopanorpa;Sinopanorpa digitiformis
ERR3:39270.604701	0	0	28	Eukaryota;Arthropoda;Insecta;Orthoptera;Tetrigidae;Alulatettix;Alulatettix yunnanensis
ERR2:110650.626305	0	27	0	Eukaryota;Arthropoda;Insecta;Coleoptera;Scirtidae;Pseudomicrocara;Pseudomicrocara anthophilia
ERR2:260700.711133	0	25	0	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Aulagromyza;Aulagromyza luteoscutellata
ERR2:95350.713365	0	25	0	Eukaryota;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Mimosestes;Mimosestes acaciestes
ERR1:293050.631983	3	3	18	Eukaryota;Arthropoda;Insecta;Hemiptera;Mesoveliidae;Mesovelia;Mesovelia amoena
ERR1:383500.653029	23	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:212850.731823	21	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:227020.608401	5	4	12	Eukaryota;Porifera;Demospongiae;Verongida;Aplysinidae;Aplysina;Aplysina cauliformis
ERR2:249350.612194	0	21	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:38510.733966	0	21	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:58370.740819	0	20	1	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR3:129530.725983	4	1	16	Eukaryota;Platyhelminthes;Monogenea;Gyrodactylidae;Gyrodactylus;Gyrodactylus derjavini
ERR1:107480.734180	20	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:107180.710805	0	20	0	Eukaryota;Arthropoda;Insecta;Mecoptera;Panorpidae;Sinopanorpa;Sinopanorpa digitiformis
ERR2:126280.725337	0	20	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:19130.666786	0	20	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:96280.615287	0	20	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR3:1020180.696086	0	0	20	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Cerodontha;Cerodontha atronitens
ERR3:1050440.709228	0	0	20	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila setula
ERR3:727140.716930	0	0	20	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR3:998550.622839	6	4	10	Eukaryota;Arthropoda;Insecta;Hymenoptera;Agaonidae;Pleistodontes;Pleistodontes plebejus
ERR1:175570.713430	19	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:216740.682977	2	5	12	Eukaryota;Cnidaria;Multivalvulida;Kudoidae;Kudoa;Kudoa hexapunctata
ERR2:121470.698112	0	19	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:172900.606797	0	19	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR3:1020260.708463	0	0	19	Eukaryota;Arthropoda;Insecta;Coleoptera;Cerambycidae;Phaea;Phaea maryannae
ERR1:228310.736389	18	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:516250.603927	6	3	9	Eukaryota;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Bruchidius;Bruchidius siliquastri
ERR1:351640.628199	2	3	12	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:35130.718538	0	17	0	Eukaryota;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Mimosestes;Mimosestes acaciestes
ERR2:51150.735524	0	17	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR1:104670.680472	4	12	0	Eukaryota;Arthropoda;Insecta;Coleoptera;Scirtidae;Pseudomicrocara;Pseudomicrocara anthophilia
ERR1:43890.697803	1	15	0	Eukaryota;Arthropoda;Insecta;Diptera;Empididae;Rhamphomyia;Rhamphomyia umbripennis
ERR1:80810.727426	16	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:164690.700988	0	16	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:18550.704365	0	16	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:62360.735779	0	16	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:77890.735864	0	16	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR3:19390.715234	0	0	16	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Pseudostegana;Pseudostegana angustifasciata
ERR3:28420.718772	0	0	16	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:281890.612915	3	4	8	Eukaryota;Arthropoda;Collembola;Entomobryidae;Seira;Seira dowlingi
ERR3:1015740.694320	0	0	15	Eukaryota;Arthropoda;Insecta;Diptera;Sarcophagidae;Amobia;Amobia erythrura
ERR3:1105700.630656	0	0	15	Eukaryota;Arthropoda;Insecta;Diptera;Clusiidae;Hendelia;Hendelia gladiator
ERR3:81010.665628	1	0	14	Eukaryota;Arthropoda;Insecta;Hemiptera;Psyllidae;Cacopsylla;Cacopsylla coccinea
ERR2:206260.727642	0	14	0	Eukaryota;Acanthocephala;Archiacanthocephala;Oligacanthorhynchida;Oligacanthorhynchidae;Macracanthorhynchus;Macracanthorhynchus hirudinaceus
ERR2:504070.706268	0	14	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:73480.749251	6	8	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:92020.723116	0	14	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR3:1024270.655909	0	0	14	Eukaryota;Arthropoda;Insecta;Diptera;Simuliidae;Simulium;Simulium brevipar
ERR1:132250.611981	6	0	7	Eukaryota;Mollusca;Gastropoda;Calyptraeidae;Crepidula;Crepidula norrisiarum
ERR1:145940.661264	9	4	0	Eukaryota;Arthropoda;Insecta;Coleoptera;Buprestidae;Ectinogonia;Ectinogonia intermedia
ERR2:232170.734549	1	12	0	Eukaryota;Arthropoda;Insecta;Diptera;Micropezidae;Hemichaeta;Hemichaeta scutellata
ERR2:387120.684437	0	13	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:471400.730431	0	13	0	Eukaryota;Chordata;Mammalia;Primates;Pitheciidae;Callicebus;Callicebus lugens
ERR3:1230960.699224	0	0	13	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR1:35500.642980	12	0	0	Eukaryota;Platyhelminthes;Trematoda;Plagiorchiida;Paramphistomidae;Calicophoron;Calicophoron microbothrioides
ERR1:83070.708974	12	0	0	Eukaryota;Arthropoda;Insecta;Lepidoptera;Saturniidae;Pseudautomeris;Pseudautomeris nr. erubescens BOLD:AAB9701
ERR2:152740.730297	0	12	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Pseudostegana;Pseudostegana angustifasciata
ERR2:233370.664583	0	11	1	Eukaryota;Nematoda;Chromadorea;Rhabditida;Filaroididae;Parafilaroides;Parafilaroides normani
ERR2:453990.722179	2	5	5	Eukaryota;Arthropoda;Insecta;Coleoptera;Cantharidae;Malthodes;Malthodes mysticus
ERR2:496130.606994	6	1	5	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:496580.636168	2	1	9	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
ERR2:50840.698579	0	12	0	Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Anopheles;Anopheles lutzii s. l. 1 RS16
ERR3:1054600.698289	0	0	12	Eukaryota;Chordata;Actinopteri;Ophidiiformes;Bythitidae;Diplacanthopoma;Diplacanthopoma brachysoma
ERR1:102850.715572	11	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR1:111430.616104	11	0	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR1:155230.697690	11	0	0	Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Chydoridae;Pseudochydorus;Pseudochydorus globosus
ERR1:172680.600946	11	0	0	Eukaryota;Chordata;Amphibia;Anura;Hyperoliidae;Hyperolius;Hyperolius ocellatus
ERR1:21000.692791	11	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:212870.666006	11	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Clusiidae;Clusiodes;Clusiodes verticalis
ERR1:261270.739240	7	2	2	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:278010.694575	11	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:64100.661183	11	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:166960.660588	0	11	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:282730.724132	1	10	0	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Pauropsalta;Pauropsalta herveyensis (nomen nudum)
ERR2:335710.710600	5	6	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:372970.628899	0	2	9	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR3:1005830.707080	0	0	11	Eukaryota;Arthropoda;Insecta;Coleoptera;Scirtidae;Pseudomicrocara;Pseudomicrocara anthophilia
ERR3:1124720.715954	0	0	11	Eukaryota;Arthropoda;Insecta;Hemiptera;Anthocoridae;Anthocoris;Anthocoris dividens
ERR1:12250.673170	5	1	4	Eukaryota;Mollusca;Gastropoda;Bradybaenidae;Pseudobuliminus;Pseudobuliminus subcylindricus
ERR1:12470.741437	10	0	0	Eukaryota;Platyhelminthes;Trematoda;Echinostomida;Notocotylidae;Ogmocotyle;Ogmocotyle sikae
ERR1:612110.716322	10	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Polypedilum;Polypedilum quadriguttatum
ERR1:75800.655327	10	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:133660.608245	2	3	5	Eukaryota;Chordata;Amphibia;Anura;Hyperoliidae;Hyperolius;Hyperolius ocellatus
ERR2:259600.722260	0	10	0	Eukaryota;Chordata;Squamata;Dipsadidae;Hypsiglena;Hypsiglena jani
ERR2:45900.677755	0	10	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR3:1251900.694293	0	2	8	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus mykiss x Salmo salar
ERR3:159010.724114	0	0	10	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:115790.659648	9	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:176500.659726	7	1	1	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR1:23540.670974	5	0	4	Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Hexatrygonidae;Hexatrygon;Hexatrygon bickelli
ERR1:376720.729244	9	0	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR1:53650.728400	9	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR1:93700.745573	9	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:134710.680240	0	9	0	Eukaryota;Platyhelminthes;Cestoda;Tetraphyllidea;Onchobothriidae;Pachybothrium;Pachybothrium hutsoni
ERR2:146910.709019	0	9	0	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Dicrotendipes;Dicrotendipes pulsus
ERR2:156250.630441	0	9	0	Eukaryota;Platyhelminthes;Cestoda;Tetrabothriidea;Tetrabothriidae;Tetrabothrius;Tetrabothrius erostris
ERR2:222110.648902	2	7	0	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Microdon;Microdon analis
ERR2:30950.737880	0	9	0	Eukaryota;Platyhelminthes;Cestoda;Tetraphyllidea;Onchobothriidae;Pachybothrium;Pachybothrium hutsoni
ERR2:358850.735858	0	9	0	Eukaryota;Arthropoda;Insecta;Trichoptera;Hydropsychidae;Hydropsyche;Hydropsyche yenisar
ERR2:399430.623394	0	3	6	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:530.751729	1	8	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:53180.721749	0	9	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:537570.686530	0	9	0	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Chaetocladius;Chaetocladius dissipatus
ERR2:62560.729801	0	9	0	Eukaryota;Arthropoda;Malacostraca;Isopoda;Cylisticus;Cylisticus convexus
ERR3:1017670.702898	0	0	9	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR3:1032490.697510	0	0	9	Eukaryota;Arthropoda;Insecta;Trichoptera;Leptoceridae;Triplectides;Triplectides tigrinus
ERR3:1092440.719396	0	0	9	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR3:136860.668323	3	1	5	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Leucophenga;Leucophenga angusta
ERR1:12620.690423	8	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR1:154670.700616	8	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR1:211980.738335	3	5	0	Eukaryota;Arthropoda;Insecta;Diptera;Clusiidae;Hendelia;Hendelia gladiator
ERR1:253690.700354	1	1	6	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR1:281490.730015	2	1	5	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:460290.689734	1	2	5	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:52370.695918	8	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Dolichopodidae;Campsicnemus;Campsicnemus marginatus
ERR1:61110.635410	8	0	0	Eukaryota;Arthropoda;Insecta;Coleoptera;Cerambycidae;Olenecamptus;Olenecamptus cretaceus
ERR1:69550.724851	8	0	0	Eukaryota;Arthropoda;Insecta;Hymenoptera;Agaonidae;Blastophaga;Blastophaga intermedia
ERR2:11880.639695	0	8	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:130900.695981	0	8	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:181020.719707	0	8	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:186840.655844	0	8	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:208440.697410	0	8	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Pontellidae;Pontellopsis;Pontellopsis tenuicauda
ERR2:383630.698713	0	8	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:454950.718282	0	8	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:76330.720941	0	8	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila pullipes
