amplicon	linearized.dereplicate_ERR1308288.merged.fastq	total
ERR1308288:::101491:0:0:0:0.653601	1	1
ERR1308288:::101522:0:0:0:0.616852	1	1
ERR1308288:::10154:0:0:0:0.645407	1	1
ERR1308288:::101546:0:0:0:0.730844	1	1
ERR1308288:::101548:0:0:0:0.674649	1	1
ERR1308288:::10155:0:0:0:0.672582	1	1
ERR1308288:::101562:0:0:0:0.616094	1	1
ERR1308288:::101564:0:0:0:0.619079	1	1
ERR1308288:::101573:0:0:0:0.705990	1	1
ERR1308288:::101575:0:0:0:0.679658	1	1
ERR1308288:::101597:0:0:0:0.611111	1	1
ERR1308288:::101606:0:0:0:0.621054	1	1
ERR1308288:::101608:0:0:0:0.638591	1	1
ERR1308288:::101616:0:0:0:0.641928	1	1
ERR1308288:::101640:0:0:0:0.649855	1	1
ERR1308288:::101656:0:0:0:0.628807	1	1
ERR1308288:::101662:0:0:0:0.698278	1	1
ERR1308288:::101685:0:0:0:0.623916	1	1
ERR1308288:::101697:0:0:0:0.642378	1	1
ERR1308288:::101713:0:0:0:0.610487	1	1
ERR1308288:::10172:0:0:0:0.632541	1	1
ERR1308288:::101754:0:0:0:0.606069	1	1
ERR1308288:::101755:0:0:0:0.651161	1	1
ERR1308288:::101756:0:0:0:0.623729	1	1
ERR1308288:::101793:0:0:0:0.686608	1	1
ERR1308288:::101796:0:0:0:0.656084	1	1
ERR1308288:::101816:0:0:0:0.619009	1	1
ERR1308288:::101825:0:0:0:0.643204	1	1
ERR1308288:::101852:0:0:0:0.630627	1	1
ERR1308288:::101863:0:0:0:0.716115	1	1
ERR1308288:::101872:0:0:0:0.656051	1	1
ERR1308288:::101883:0:0:0:0.604627	1	1
ERR1308288:::101928:0:0:0:0.624860	1	1
ERR1308288:::101930:0:0:0:0.613968	1	1
ERR1308288:::10193:0:0:0:0.746014	1	1
ERR1308288:::101938:0:0:0:0.664558	1	1
ERR1308288:::101945:0:0:0:0.676969	1	1
ERR1308288:::101952:0:0:0:0.631793	1	1
ERR1308288:::101959:0:0:0:0.701335	1	1
ERR1308288:::101962:0:0:0:0.714069	1	1
ERR1308288:::101974:0:0:0:0.735150	1	1
ERR1308288:::101988:0:0:0:0.671504	1	1
ERR1308288:::101990:0:0:0:0.714571	1	1
ERR1308288:::102041:0:0:0:0.632678	1	1
ERR1308288:::102061:0:0:0:0.633272	1	1
ERR1308288:::102068:0:0:0:0.686730	1	1
ERR1308288:::102079:0:0:0:0.639745	1	1
ERR1308288:::102080:0:0:0:0.605484	1	1
ERR1308288:::102093:0:0:0:0.652288	1	1
ERR1308288:::102102:0:0:0:0.610057	1	1
ERR1308288:::10211:0:0:0:0.639684	1	1
ERR1308288:::102111:0:0:0:0.604131	1	1
ERR1308288:::102139:0:0:0:0.636862	1	1
ERR1308288:::102143:0:0:0:0.683682	1	1
ERR1308288:::102146:0:0:0:0.687993	1	1
ERR1308288:::102171:0:0:0:0.685287	1	1
ERR1308288:::102177:0:0:0:0.740302	1	1
ERR1308288:::10218:0:0:0:0.600052	1	1
ERR1308288:::102186:0:0:0:0.658334	1	1
ERR1308288:::102191:0:0:0:0.607945	1	1
ERR1308288:::102194:0:0:0:0.657617	1	1
ERR1308288:::102213:0:0:0:0.701133	1	1
ERR1308288:::102219:0:0:0:0.621110	1	1
ERR1308288:::102237:0:0:0:0.640500	1	1
ERR1308288:::102244:0:0:0:0.609052	1	1
ERR1308288:::102245:0:0:0:0.682643	1	1
ERR1308288:::102247:0:0:0:0.617530	1	1
ERR1308288:::102252:0:0:0:0.664156	1	1
ERR1308288:::102268:0:0:0:0.619523	1	1
ERR1308288:::102269:0:0:0:0.608948	1	1
ERR1308288:::102284:0:0:0:0.625076	1	1
ERR1308288:::102325:0:0:0:0.650890	1	1
ERR1308288:::102331:0:0:0:0.651070	1	1
ERR1308288:::102340:0:0:0:0.615962	1	1
ERR1308288:::102342:0:0:0:0.645819	1	1
ERR1308288:::102343:0:0:0:0.652910	1	1
ERR1308288:::102350:0:0:0:0.628779	1	1
ERR1308288:::102351:0:0:0:0.620437	1	1
ERR1308288:::102358:0:0:0:0.600797	1	1
ERR1308288:::10237:0:0:0:0.638554	1	1
ERR1308288:::102377:0:0:0:0.608126	1	1
ERR1308288:::102378:0:0:0:0.655892	1	1
ERR1308288:::102381:0:0:0:0.729348	1	1
ERR1308288:::102388:0:0:0:0.633813	1	1
ERR1308288:::102393:0:0:0:0.684667	1	1
ERR1308288:::10240:0:0:0:0.671802	1	1
ERR1308288:::10241:0:0:0:0.614704	1	1
ERR1308288:::102411:0:0:0:0.702301	1	1
ERR1308288:::102428:0:0:0:0.650430	1	1
ERR1308288:::102430:0:0:0:0.614356	1	1
ERR1308288:::102434:0:0:0:0.664401	1	1
ERR1308288:::102465:0:0:0:0.620040	1	1
ERR1308288:::102466:0:0:0:0.640691	1	1
ERR1308288:::102475:0:0:0:0.659163	1	1
ERR1308288:::102482:0:0:0:0.673050	1	1
ERR1308288:::102489:0:0:0:0.612824	1	1
ERR1308288:::102491:0:0:0:0.655734	1	1
ERR1308288:::102492:0:0:0:0.623060	1	1
ERR1308288:::102497:0:0:0:0.653282	1	1
ERR1308288:::10252:0:0:0:0.608786	1	1
ERR1308288:::102521:0:0:0:0.612547	1	1
ERR1308288:::102539:0:0:0:0.609985	1	1
ERR1308288:::102552:0:0:0:0.684125	1	1
ERR1308288:::102562:0:0:0:0.668450	1	1
ERR1308288:::102565:0:0:0:0.603186	1	1
ERR1308288:::10258:0:0:0:0.607861	1	1
ERR1308288:::102587:0:0:0:0.697249	1	1
ERR1308288:::102615:0:0:0:0.617208	1	1
ERR1308288:::102641:0:0:0:0.700176	1	1
ERR1308288:::102643:0:0:0:0.650012	1	1
ERR1308288:::102647:0:0:0:0.604421	1	1
ERR1308288:::102650:0:0:0:0.612422	1	1
ERR1308288:::102651:0:0:0:0.716647	1	1
ERR1308288:::102656:0:0:0:0.611467	1	1
ERR1308288:::102659:0:0:0:0.617732	1	1
ERR1308288:::10266:0:0:0:0.704689	1	1
ERR1308288:::102671:0:0:0:0.628067	1	1
ERR1308288:::102679:0:0:0:0.641232	1	1
ERR1308288:::102696:0:0:0:0.604240	1	1
ERR1308288:::1027:0:0:0:0.654885	1	1
ERR1308288:::102755:0:0:0:0.641999	1	1
ERR1308288:::102773:0:0:0:0.641736	1	1
ERR1308288:::102781:0:0:0:0.644336	1	1
ERR1308288:::102787:0:0:0:0.748388	1	1
ERR1308288:::102793:0:0:0:0.609820	1	1
