OTU	amplicon	ERR1308288	total
305	ERR1308288:109760.690226	1	1
306	ERR1308288:1097770.707955	1	1
307	ERR1308288:109780.643968	1	1
309	ERR1308288:1098620.621724	2	2
311	ERR1308288:1099190.632738	1	1
313	ERR1308288:1099560.705163	1	1
314	ERR1308288:109980.614861	1	1
315	ERR1308288:1099930.632063	1	1
316	ERR1308288:110000.607116	1	1
317	ERR1308288:1100040.646087	1	1
318	ERR1308288:1100300.605777	1	1
319	ERR1308288:1100410.624473	1	1
320	ERR1308288:1100470.626553	2	2
321	ERR1308288:1101110.630180	1	1
322	ERR1308288:1101310.653596	1	1
323	ERR1308288:1102010.609930	1	1
324	ERR1308288:1102420.622564	1	1
325	ERR1308288:1102780.638923	1	1
326	ERR1308288:1102840.618319	1	1
328	ERR1308288:1103790.650830	1	1
330	ERR1308288:1104100.631324	1	1
331	ERR1308288:1104790.600241	1	1
332	ERR1308288:110540.679072	1	1
334	ERR1308288:1106050.665714	1	1
335	ERR1308288:1106130.601339	1	1
336	ERR1308288:1106360.685494	1	1
337	ERR1308288:1107490.602514	1	1
338	ERR1308288:1107810.656021	1	1
339	ERR1308288:1108150.620973	1	1
340	ERR1308288:1108280.650499	2	2
341	ERR1308288:1108300.629789	1	1
342	ERR1308288:1108310.609634	1	1
343	ERR1308288:1108700.609626	1	1
345	ERR1308288:1109100.658894	1	1
346	ERR1308288:1109410.608578	1	1
347	ERR1308288:1109610.606750	1	1
348	ERR1308288:1109910.632646	1	1
349	ERR1308288:11100.652339	1	1
351	ERR1308288:111050.627641	1	1
352	ERR1308288:1110530.698024	2	2
353	ERR1308288:1110650.603539	1	1
354	ERR1308288:1110980.699359	1	1
355	ERR1308288:1112210.636664	1	1
356	ERR1308288:111250.616727	1	1
357	ERR1308288:1113090.632585	1	1
358	ERR1308288:1113900.601823	1	1
359	ERR1308288:1114050.619916	1	1
360	ERR1308288:1114420.609368	1	1
361	ERR1308288:1115030.604118	1	1
362	ERR1308288:1115250.604272	1	1
363	ERR1308288:1115950.693084	1	1
364	ERR1308288:1116270.622324	1	1
365	ERR1308288:1116340.680298	1	1
367	ERR1308288:111750.645508	1	1
368	ERR1308288:1117610.601848	1	1
369	ERR1308288:111780.618798	1	1
370	ERR1308288:1118580.604046	2	2
372	ERR1308288:111890.605571	1	1
373	ERR1308288:1119480.618693	1	1
374	ERR1308288:1120500.644111	2	2
375	ERR1308288:1121300.639363	1	1
377	ERR1308288:112180.636159	1	1
378	ERR1308288:1123130.603274	1	1
379	ERR1308288:1123400.623123	1	1
382	ERR1308288:1126250.606649	1	1
383	ERR1308288:1127840.621801	1	1
384	ERR1308288:1128990.606892	1	1
385	ERR1308288:112920.610403	1	1
386	ERR1308288:1129390.625510	1	1
387	ERR1308288:1130010.613899	1	1
389	ERR1308288:1130610.614652	1	1
390	ERR1308288:1131120.647321	1	1
392	ERR1308288:1132110.602668	1	1
393	ERR1308288:1132440.658212	1	1
394	ERR1308288:1133130.632781	1	1
395	ERR1308288:1133580.614846	1	1
396	ERR1308288:1135110.615719	1	1
397	ERR1308288:1136250.606110	2	2
398	ERR1308288:113670.611375	1	1
400	ERR1308288:1139100.666843	1	1
401	ERR1308288:1139120.600499	1	1
402	ERR1308288:1139370.673757	1	1
403	ERR1308288:1140.614086	1	1
404	ERR1308288:1140630.600784	1	1
