OTU	amplicon	ERR3460467	total
305	ERR3460467:230070.619211	1	1
306	ERR3460467:2301830.604521	2	2
307	ERR3460467:2302280.616139	1	1
308	ERR3460467:2304030.607921	1	1
309	ERR3460467:2305220.639116	1	1
310	ERR3460467:2308770.718071	1	1
311	ERR3460467:2310730.604204	1	1
312	ERR3460467:2311150.603324	1	1
313	ERR3460467:2312440.606489	1	1
314	ERR3460467:2320180.610935	1	1
315	ERR3460467:233680.633307	1	1
316	ERR3460467:2337150.608734	1	1
318	ERR3460467:2360690.614026	1	1
319	ERR3460467:2361350.606270	1	1
320	ERR3460467:2367180.631011	2	2
321	ERR3460467:2367210.601169	1	1
322	ERR3460467:2369830.644394	1	1
323	ERR3460467:2370220.601536	1	1
324	ERR3460467:238070.639001	1	1
325	ERR3460467:2381180.641281	1	1
326	ERR3460467:2383840.604411	1	1
327	ERR3460467:2384380.606242	1	1
328	ERR3460467:2392970.608384	2	2
329	ERR3460467:2395280.601141	1	1
330	ERR3460467:2401230.604176	1	1
331	ERR3460467:2410700.684790	1	1
332	ERR3460467:2415180.627842	1	1
333	ERR3460467:2416040.615650	1	1
334	ERR3460467:2421160.656440	1	1
335	ERR3460467:2422170.697969	1	1
336	ERR3460467:2422390.654889	1	1
337	ERR3460467:2422670.637362	2	2
338	ERR3460467:2432760.639127	1	1
339	ERR3460467:2437390.605109	1	1
340	ERR3460467:2446420.616085	2	2
341	ERR3460467:2447650.659981	1	1
342	ERR3460467:2447740.607940	1	1
343	ERR3460467:2447750.632896	1	1
344	ERR3460467:245160.682483	1	1
345	ERR3460467:2451780.615513	1	1
346	ERR3460467:2454000.625987	1	1
347	ERR3460467:2454800.617361	1	1
348	ERR3460467:2455170.655445	1	1
349	ERR3460467:2460450.654711	1	1
350	ERR3460467:2464580.638122	1	1
351	ERR3460467:2468750.602771	1	1
352	ERR3460467:2479240.601965	1	1
353	ERR3460467:2481910.623093	1	1
355	ERR3460467:2485400.601313	1	1
356	ERR3460467:2487830.668714	1	1
357	ERR3460467:2498400.617523	1	1
358	ERR3460467:2498410.607403	1	1
359	ERR3460467:2503110.715243	1	1
360	ERR3460467:2506420.602891	1	1
361	ERR3460467:2507030.615326	1	1
362	ERR3460467:2508370.608472	1	1
363	ERR3460467:2509360.690752	1	1
364	ERR3460467:2517800.665791	1	1
365	ERR3460467:2520140.634657	1	1
366	ERR3460467:252410.623525	1	1
367	ERR3460467:2526810.623146	1	1
368	ERR3460467:2528130.623357	1	1
369	ERR3460467:2540210.667184	1	1
370	ERR3460467:2544070.640226	1	1
371	ERR3460467:2571620.621233	2	2
372	ERR3460467:2588000.614571	1	1
373	ERR3460467:2595510.612726	1	1
374	ERR3460467:2605370.695746	1	1
375	ERR3460467:262090.617553	1	1
376	ERR3460467:2623700.605549	1	1
377	ERR3460467:2625350.606850	1	1
378	ERR3460467:262690.615432	1	1
379	ERR3460467:2637790.612528	1	1
380	ERR3460467:2640810.620509	1	1
381	ERR3460467:2643700.621118	1	1
382	ERR3460467:2646000.645447	1	1
383	ERR3460467:2651240.620602	1	1
384	ERR3460467:2656260.607750	1	1
385	ERR3460467:265830.611732	1	1
386	ERR3460467:2660690.632651	2	2
387	ERR3460467:2663470.650980	1	1
388	ERR3460467:2667360.615611	1	1
389	ERR3460467:2668720.602171	1	1
390	ERR3460467:273040.636877	1	1
391	ERR3460467:281490.630049	1	1
392	ERR3460467:29410.612599	1	1
393	ERR3460467:297720.608339	1	1
394	ERR3460467:298770.600848	1	1
395	ERR3460467:314550.617756	2	2
396	ERR3460467:322300.615494	1	1
397	ERR3460467:337520.694431	1	1
398	ERR3460467:344860.620559	1	1
399	ERR3460467:34820.615272	1	1
400	ERR3460467:353000.600341	1	1
401	ERR3460467:353110.606667	1	1
402	ERR3460467:355920.670832	1	1
403	ERR3460467:360170.706666	1	1
404	ERR3460467:372120.613827	1	1
405	ERR3460467:378930.658137	1	1
406	ERR3460467:382520.650315	1	1
407	ERR3460467:387310.676481	1	1
408	ERR3460467:392510.688535	1	1
409	ERR3460467:394010.613549	1	1
410	ERR3460467:396080.692611	1	1
411	ERR3460467:405480.614035	1	1
412	ERR3460467:415410.656278	1	1
413	ERR3460467:418400.716149	1	1
414	ERR3460467:420520.619987	1	1
415	ERR3460467:431460.600078	1	1
416	ERR3460467:449470.609599	1	1
417	ERR3460467:45530.619484	1	1
418	ERR3460467:466610.615908	2	2
419	ERR3460467:472150.626489	1	1
420	ERR3460467:476960.691423	1	1
421	ERR3460467:477930.684492	1	1
422	ERR3460467:480330.613498	1	1
423	ERR3460467:482700.694699	1	1
424	ERR3460467:487170.620485	1	1
425	ERR3460467:487960.618500	1	1
426	ERR3460467:488290.646669	1	1
427	ERR3460467:497970.684804	1	1
428	ERR3460467:499620.620782	1	1
429	ERR3460467:499950.601244	1	1
430	ERR3460467:506730.639069	1	1
431	ERR3460467:510910.625995	1	1
432	ERR3460467:511550.653820	1	1
433	ERR3460467:517190.606849	1	1
434	ERR3460467:520630.608350	1	1
435	ERR3460467:540940.601517	1	1
436	ERR3460467:554790.697194	1	1
437	ERR3460467:56000.601808	1	1
438	ERR3460467:563240.669503	1	1
439	ERR3460467:582200.649762	1	1
440	ERR3460467:583840.643162	1	1
441	ERR3460467:585310.619861	1	1
442	ERR3460467:59190.649982	1	1
443	ERR3460467:594230.602057	1	1
444	ERR3460467:594540.614676	1	1
445	ERR3460467:596020.622062	1	1
446	ERR3460467:598140.607452	1	1
447	ERR3460467:605450.616656	1	1
448	ERR3460467:611700.627378	1	1
449	ERR3460467:61280.631739	1	1
450	ERR3460467:61330.626136	1	1
451	ERR3460467:619420.601606	1	1
452	ERR3460467:623790.618310	1	1
453	ERR3460467:630940.612113	1	1
454	ERR3460467:636920.602187	1	1
455	ERR3460467:637210.609140	1	1
456	ERR3460467:638020.637745	1	1
457	ERR3460467:673560.685083	1	1
458	ERR3460467:681700.676539	1	1
459	ERR3460467:685110.676734	1	1
460	ERR3460467:689070.610118	1	1
461	ERR3460467:704210.604108	1	1
462	ERR3460467:710710.620642	1	1
463	ERR3460467:71740.602400	1	1
464	ERR3460467:717400.609669	1	1
465	ERR3460467:720520.617755	1	1
466	ERR3460467:726080.605085	1	1
467	ERR3460467:726950.608839	1	1
468	ERR3460467:727820.663859	1	1
469	ERR3460467:731350.609005	1	1
470	ERR3460467:734210.622611	1	1
471	ERR3460467:734860.676505	1	1
472	ERR3460467:739100.624971	1	1
473	ERR3460467:739330.623037	1	1
474	ERR3460467:742350.608056	1	1
475	ERR3460467:75070.608782	1	1
476	ERR3460467:75500.608197	1	1
477	ERR3460467:764090.669289	1	1
478	ERR3460467:769220.686857	1	1
479	ERR3460467:771970.710305	1	1
480	ERR3460467:772820.641223	1	1
481	ERR3460467:795780.640639	1	1
482	ERR3460467:802370.606669	1	1
483	ERR3460467:813640.692211	1	1
484	ERR3460467:814960.638593	1	1
485	ERR3460467:81950.604512	1	1
486	ERR3460467:829420.615859	1	1
487	ERR3460467:82950.624068	1	1
488	ERR3460467:835190.682587	1	1
489	ERR3460467:841290.608853	1	1
490	ERR3460467:843100.660994	1	1
491	ERR3460467:843190.619036	1	1
492	ERR3460467:84390.684278	1	1
493	ERR3460467:845550.607318	1	1
494	ERR3460467:861740.607857	1	1
495	ERR3460467:862900.604801	1	1
496	ERR3460467:873410.604334	1	1
497	ERR3460467:882620.603636	1	1
498	ERR3460467:893660.622403	1	1
499	ERR3460467:897980.614127	1	1
500	ERR3460467:89830.630594	1	1
501	ERR3460467:899330.617248	1	1
502	ERR3460467:901340.608358	1	1
503	ERR3460467:907530.659254	1	1
504	ERR3460467:913350.609378	1	1
505	ERR3460467:920920.684346	1	1
506	ERR3460467:938380.640666	1	1
507	ERR3460467:939830.605103	1	1
508	ERR3460467:943500.619021	1	1
509	ERR3460467:945330.674138	1	1
510	ERR3460467:957910.610572	1	1
511	ERR3460467:968160.625130	1	1
512	ERR3460467:971600.607614	1	1
513	ERR3460467:974020.617629	1	1
514	ERR3460467:977460.714552	1	1
515	ERR3460467:986050.615360	1	1
516	ERR3460467:989920.651218	1	1
