OTU	amplicon	ERR0000001	total
447	ERR1:127070.679775	1	1
448	ERR1:127110.615191	1	1
449	ERR1:127150.710273	1	1
450	ERR1:127180.682622	2	2
453	ERR1:127300.655340	1	1
454	ERR1:12740.602536	1	1
455	ERR1:127430.665804	1	1
456	ERR1:127570.647356	1	1
458	ERR1:127660.700472	1	1
459	ERR1:12770.636429	1	1
460	ERR1:127760.618430	1	1
461	ERR1:12780.656854	1	1
463	ERR1:127860.711337	1	1
464	ERR1:127940.624588	1	1
465	ERR1:127980.656777	1	1
466	ERR1:128040.688813	1	1
467	ERR1:128150.627036	1	1
468	ERR1:128160.634381	1	1
471	ERR1:128500.639274	1	1
472	ERR1:128640.685833	1	1
474	ERR1:128890.697955	1	1
476	ERR1:129080.622967	1	1
477	ERR1:129210.661357	1	1
478	ERR1:129220.621735	1	1
480	ERR1:129300.624599	2	2
481	ERR1:129410.606699	1	1
482	ERR1:12950.693270	1	1
483	ERR1:129560.726290	1	1
484	ERR1:129570.688043	1	1
485	ERR1:129670.646497	1	1
486	ERR1:12970.634834	1	1
487	ERR1:129930.698073	1	1
489	ERR1:130040.628923	1	1
490	ERR1:130130.635780	1	1
491	ERR1:130300.699752	1	1
492	ERR1:130480.648897	2	2
493	ERR1:130510.636737	1	1
494	ERR1:130560.628004	1	1
495	ERR1:13060.722269	1	1
496	ERR1:130620.632781	2	2
497	ERR1:130640.710065	1	1
498	ERR1:130800.631157	1	1
499	ERR1:130820.657117	1	1
500	ERR1:13090.616113	1	1
501	ERR1:130920.610327	1	1
502	ERR1:130970.689138	1	1
503	ERR1:131070.650125	1	1
504	ERR1:131090.733410	1	1
505	ERR1:131120.656779	1	1
506	ERR1:131170.660256	1	1
507	ERR1:131250.723253	1	1
508	ERR1:131490.681501	2	2
509	ERR1:131560.664153	1	1
511	ERR1:131750.654420	2	2
512	ERR1:131790.720424	1	1
514	ERR1:131900.602715	1	1
516	ERR1:132190.603399	1	1
517	ERR1:13230.614490	1	1
518	ERR1:132320.664281	1	1
519	ERR1:132570.690149	1	1
520	ERR1:132890.620511	1	1
521	ERR1:132900.622240	1	1
524	ERR1:133050.704109	1	1
526	ERR1:133090.723498	1	1
528	ERR1:133170.640382	1	1
529	ERR1:133460.671208	1	1
530	ERR1:133500.603122	1	1
531	ERR1:133600.641939	1	1
533	ERR1:133700.623275	2	2
534	ERR1:133770.671695	2	2
539	ERR1:13420.622333	1	1
540	ERR1:134260.642670	1	1
541	ERR1:134420.690776	1	1
542	ERR1:13450.700831	2	2
543	ERR1:134750.682678	1	1
544	ERR1:134980.679797	1	1
545	ERR1:135040.620635	1	1
546	ERR1:135050.603208	1	1
547	ERR1:135070.627837	1	1
548	ERR1:135100.656955	1	1
551	ERR1:135290.680531	1	1
552	ERR1:135350.613249	1	1
553	ERR1:135390.690848	1	1
554	ERR1:13540.630442	1	1
555	ERR1:135410.610365	1	1
556	ERR1:135420.640717	2	2
557	ERR1:135500.626172	1	1
558	ERR1:135820.639923	1	1
559	ERR1:135960.674347	1	1
560	ERR1:136060.640973	1	1
561	ERR1:136190.676694	2	2
562	ERR1:136380.688786	1	1
563	ERR1:136440.663616	1	1
564	ERR1:13650.673842	1	1
565	ERR1:136520.615220	1	1
566	ERR1:136590.605947	1	1
567	ERR1:13660.689366	1	1
568	ERR1:136600.622117	1	1
569	ERR1:136710.636482	1	1
570	ERR1:136950.676965	1	1
571	ERR1:137000.639893	1	1
572	ERR1:137030.603207	1	1
574	ERR1:137080.715438	1	1
576	ERR1:137220.648288	1	1
577	ERR1:137310.677648	1	1
578	ERR1:137520.634092	1	1
579	ERR1:137690.611438	1	1
580	ERR1:137730.655677	1	1
581	ERR1:137740.657501	1	1
582	ERR1:137760.682331	1	1
583	ERR1:137810.625073	1	1
584	ERR1:137920.630348	1	1
587	ERR1:138130.629552	1	1
588	ERR1:138180.687958	1	1
589	ERR1:138290.605770	1	1
590	ERR1:138380.733720	1	1
591	ERR1:138540.708635	1	1
592	ERR1:138560.647870	1	1
593	ERR1:138840.677673	1	1
595	ERR1:138950.667306	1	1
596	ERR1:138980.632622	1	1
597	ERR1:139070.659333	1	1
598	ERR1:13920.652102	1	1
599	ERR1:139270.634267	1	1
600	ERR1:139370.642786	1	1
601	ERR1:139400.697885	1	1
602	ERR1:139430.602105	1	1
603	ERR1:139460.702356	1	1
605	ERR1:13950.652076	1	1
606	ERR1:139750.670386	1	1
607	ERR1:139810.701754	1	1
608	ERR1:139840.606749	1	1
609	ERR1:140090.611701	1	1
611	ERR1:140350.677766	1	1
613	ERR1:140540.606516	1	1
615	ERR1:140610.663565	2	2
616	ERR1:140670.704922	1	1
617	ERR1:140740.661045	2	2
619	ERR1:140880.677368	1	1
620	ERR1:140950.609150	1	1
621	ERR1:1410.610819	1	1
622	ERR1:14100.651100	2	2
623	ERR1:141020.658976	1	1
625	ERR1:141120.654028	1	1
626	ERR1:141150.615757	1	1
627	ERR1:141160.697631	1	1
628	ERR1:141230.756653	2	2
629	ERR1:141260.644908	1	1
630	ERR1:141440.693647	1	1
631	ERR1:141480.656210	1	1
632	ERR1:141530.609870	1	1
634	ERR1:141660.653847	1	1
635	ERR1:141740.620376	1	1
636	ERR1:141900.644792	1	1
637	ERR1:141910.667626	1	1
638	ERR1:141930.684220	1	1
639	ERR1:141970.675401	1	1
640	ERR1:14200.677591	1	1
641	ERR1:142020.693524	1	1
