OTU	SRR1808872	classification
SRR11808872:1020420.611044	91	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:111990.605198	91	Eukaryota;Arthropoda;Insecta;Orthoptera;Acrididae;Lithidiopsis;Lithidiopsis carinatus
SRR11808872:101900.613488	90	Eukaryota;Arthropoda;Insecta;Neuroptera;Chrysopidae;Chrysoperla;Chrysoperla pudica
SRR11808872:108020.617695	89	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
SRR11808872:1765350.600748	89	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila sticta
SRR11808872:3756170.612093	89	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
SRR11808872:1222200.604971	85	Eukaryota;Arthropoda;Insecta;Lepidoptera;Tortricidae;Argyrotaenia;Argyrotaenia occultana
SRR11808872:948230.626673	85	Eukaryota;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Scarabaeus;Scarabaeus rubripennis
SRR11808872:1154320.611383	84	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya dubia
SRR11808872:1000830.614944	83	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
SRR11808872:451930.603214	83	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
SRR11808872:3810540.603280	81	Eukaryota;Arthropoda;Insecta;Lepidoptera;Pyralidae;Dioryctria;Dioryctria nr. rubella Du07
SRR11808872:1056810.634795	80	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
SRR11808872:6314310.616828	80	Eukaryota;Arthropoda;Insecta;Lepidoptera;Pyralidae;Sosipatra;Sosipatra anthophila
SRR11808872:1350060.618391	78	Eukaryota;Annelida;Polychaeta;Phyllodocida;Syllidae;Syllides;Syllides convolutus
SRR11808872:778950.621196	77	Eukaryota;Arthropoda;Insecta;Diptera;Calliphoridae;Dyscritomyia;Dyscritomyia lucilioides
SRR11808872:171810.603078	75	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Merulinidae;Platygyra;Platygyra carnosus
SRR11808872:1063570.603396	74	Eukaryota;Arthropoda;Insecta;Lepidoptera;Prodoxidae;Parategeticula;Parategeticula elephantipella
SRR11808872:2615630.629643	74	Eukaryota;Mollusca;Gastropoda;Lymnaeidae;Galba;Galba pervia
SRR11808872:1003220.615195	73	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
SRR11808872:4765460.601745	72	Eukaryota;Arthropoda;Insecta;Siphonaptera;Stivaliidae;Lentistivalius;Lentistivalius insolli
SRR11808872:1826160.604391	70	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Merulinidae;Platygyra;Platygyra carnosus
SRR11808872:1931070.632178	68	Eukaryota;Mollusca;Gastropoda;Planorbidae;Biomphalaria;Biomphalaria intermedia
SRR11808872:1083510.628984	67	Eukaryota;Arthropoda;Insecta;Lepidoptera;Pyralidae;Dioryctria;Dioryctria contortella
SRR11808872:1059400.604627	66	Eukaryota;Cnidaria;Anthozoa;Antipatharia;Antipathidae;Stichopathes;Stichopathes lutkeni
SRR11808872:1370140.611590	66	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Sarsia;Sarsia princeps
SRR11808872:6322290.600013	66	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
SRR11808872:5344290.603471	64	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Euglossa;Euglossa perfulgens
SRR11808872:1006500.621474	63	Eukaryota;Echinodermata;Crinoidea;Comatulida;Colobometridae;Oligometra;Oligometra serripinna
SRR11808872:102540.611004	63	Eukaryota;Chordata;Mammalia;Carnivora;Procyonidae;Bassariscus;Bassariscus astutus
SRR11808872:2783110.600292	63	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
SRR11808872:1315840.609593	62	Eukaryota;Arthropoda;Insecta;Coleoptera;Nitidulidae;Pocadius;Pocadius wappesi
SRR11808872:1576250.614780	62	Eukaryota;Arthropoda;Insecta;Orthoptera;Acrididae;Phlaeoba;Phlaeoba albonema
SRR11808872:2403080.605330	61	Eukaryota;Arthropoda;Insecta;Hemiptera;Clastopteridae;Clastoptera;Clastoptera brunnea
SRR11808872:2717510.606614	61	Eukaryota;Arthropoda;Diplopoda;Julida;Nemasomatidae;Antrokoreana;Antrokoreana gracilipes
SRR11808872:2875130.632814	59	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Paragus;Paragus borbonicus
SRR11808872:1434080.603021	56	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Mycalesis;Mycalesis mynois
SRR11808872:1021520.643861	55	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:1050640.608870	55	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:1060980.638238	54	Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Plakina;Plakina crypta
SRR11808872:2785190.620316	53	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Sinibrama;Sinibrama taeniatus
SRR11808872:1000820.615677	52	Eukaryota;Annelida;Haplotaxida;Naididae;Pristina;Pristina osborni
SRR11808872:1060230.606558	52	Eukaryota;Arthropoda;Insecta;Lepidoptera;Pyralidae;Alberada;Alberada parabates
SRR11808872:110280.626606	52	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Toxomerus;Toxomerus mutuus
SRR11808872:1298660.645553	51	Eukaryota;Arthropoda;Insecta;Diptera;Muscidae;Neomyia;Neomyia lauta
SRR11808872:1316450.608603	51	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Phortica;Phortica curvispina
SRR11808872:1962750.616514	51	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:2334590.618082	51	Eukaryota;Arthropoda;Insecta;Plecoptera;Chloroperlidae;Chloroperla;Chloroperla tripunctata
SRR11808872:2923850.641673	51	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:1057250.645100	50	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Peloparion;Peloparion submissus
SRR11808872:1344480.600736	50	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila malagassya
SRR11808872:2300300.608610	50	Eukaryota;Platyhelminthes;Cestoda;Amphilinidea;Amphilinidae;Gigantolina;Gigantolina magna
SRR11808872:1044170.608391	49	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
SRR11808872:1306240.629705	49	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Melitaea;Melitaea consulis
SRR11808872:1325450.610072	48	Eukaryota;Arthropoda;Insecta;Diptera;Clusiidae;Sobarocephala;Sobarocephala setipes
SRR11808872:1000410.601331	47	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Chromatomyia;Chromatomyia scolopendri
SRR11808872:116400.600964	47	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
SRR11808872:869000.623164	47	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:1013220.618754	46	Eukaryota;Arthropoda;Insecta;Neuroptera;Chrysopidae;Nineta;Nineta itoi
SRR11808872:1046840.612268	46	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Amiota;Amiota leucostoma
SRR11808872:1059770.651059	45	Eukaryota;Arthropoda;Insecta;Lepidoptera;Crambidae;Catharylla;Catharylla mayrabonillae
SRR11808872:1012460.636446	44	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:1002140.607593	43	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Tryella;Tryella burnsi
SRR11808872:162430.600807	43	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Sarsia;Sarsia princeps
SRR11808872:1085480.600417	42	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:472140.613301	42	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:1011200.625607	41	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Euglossa;Euglossa macrorhyncha
SRR11808872:1136890.609479	41	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
