amplicon	ERR0000001	total
ERR1:1617960.616870	2	2
ERR1:1620970.668567	2	2
ERR1:1621380.659651	2	2
ERR1:162440.616625	2	2
ERR1:1626250.645044	2	2
ERR1:1626620.672166	2	2
ERR1:1645850.660031	2	2
ERR1:1662930.622378	2	2
ERR1:1663400.610494	2	2
ERR1:166360.614019	2	2
ERR1:1669000.625022	2	2
ERR1:1672800.670764	2	2
ERR1:16740.658295	2	2
ERR1:1680700.674540	2	2
ERR1:168830.654140	2	2
ERR1:1690240.717178	2	2
ERR1:1693740.614612	2	2
ERR1:1700670.604164	2	2
ERR1:1700840.641013	2	2
ERR1:1705110.709010	2	2
ERR1:170730.612600	2	2
ERR1:170750.615799	2	2
ERR1:172330.671510	2	2
ERR1:172740.618729	2	2
ERR1:1731290.620052	2	2
ERR1:1733800.663212	2	2
ERR1:173920.661417	2	2
ERR1:1739480.669207	2	2
ERR1:1741140.698219	2	2
ERR1:174180.619445	2	2
ERR1:1744040.666077	2	2
ERR1:174550.675363	2	2
ERR1:1748970.677554	2	2
ERR1:1750270.627586	2	2
ERR1:1750910.684196	2	2
ERR1:1756080.657775	2	2
ERR1:1760.665980	2	2
ERR1:1763520.635806	2	2
ERR1:1772530.644521	2	2
ERR1:177630.678263	2	2
ERR1:177770.629196	2	2
ERR1:178780.642395	2	2
ERR1:179320.617708	2	2
ERR1:1794920.642330	2	2
ERR1:1798320.679591	2	2
ERR1:1809350.605813	2	2
ERR1:1820150.614041	2	2
ERR1:1822140.707805	2	2
ERR1:183390.605947	2	2
ERR1:1833960.634230	2	2
ERR1:1839320.683782	2	2
ERR1:1847160.607871	2	2
ERR1:1873010.648845	2	2
ERR1:1884380.630774	2	2
ERR1:1885280.620188	2	2
ERR1:1894120.723742	2	2
ERR1:1896060.628373	2	2
ERR1:1898120.623001	2	2
ERR1:1905030.649347	2	2
ERR1:1908140.671998	2	2
ERR1:1919660.606975	2	2
ERR1:1938570.721768	2	2
ERR1:1948020.604655	2	2
ERR1:1948760.653331	2	2
ERR1:1950530.623961	2	2
ERR1:1951940.652058	2	2
ERR1:195790.641289	2	2
ERR1:19620.693240	2	2
ERR1:196960.652171	2	2
ERR1:1970410.687911	2	2
ERR1:1985650.616174	2	2
ERR1:1986290.677761	2	2
ERR1:1987820.635542	2	2
ERR1:1995410.685947	2	2
ERR1:200120.631666	2	2
ERR1:2006430.622100	2	2
ERR1:200650.621807	2	2
ERR1:2014700.602285	2	2
ERR1:2017950.632696	2	2
ERR1:2026330.644236	2	2
ERR1:203000.692567	2	2
ERR1:2033300.636596	2	2
ERR1:2033580.688921	2	2
ERR1:2035010.625447	2	2
ERR1:204060.684002	2	2
ERR1:204470.687802	2	2
ERR1:206530.602776	2	2
ERR1:209010.701667	2	2
ERR1:2093240.691510	2	2
ERR1:209700.644479	2	2
ERR1:2109690.657122	2	2
ERR1:211120.661363	2	2
ERR1:2113280.635209	2	2
ERR1:2125210.663662	2	2
ERR1:212620.628568	2	2
ERR1:2140790.664585	2	2
ERR1:214340.624177	2	2
ERR1:214470.669460	2	2
ERR1:214510.693806	2	2
ERR1:2149240.684064	2	2
ERR1:2151880.695069	2	2
ERR1:215290.603481	2	2
ERR1:215420.627561	2	2
ERR1:2154720.686044	2	2
ERR1:215710.710806	2	2
ERR1:216100.603026	2	2
ERR1:216730.718952	2	2
ERR1:2169160.680435	2	2
ERR1:217810.706598	2	2
ERR1:218030.613501	2	2
ERR1:2192910.649721	2	2
ERR1:219340.601040	2	2
ERR1:219470.668916	2	2
ERR1:2199220.720154	2	2
ERR1:2203860.624379	2	2
ERR1:2205910.629581	2	2
ERR1:2205990.671820	2	2
ERR1:2211510.685625	2	2
ERR1:2215410.660500	2	2
ERR1:2226470.689704	2	2
ERR1:2226810.636852	2	2
ERR1:222850.662541	2	2
ERR1:2230690.670884	2	2
ERR1:223320.717568	2	2
ERR1:2261210.618716	2	2
ERR1:2263040.696575	2	2
ERR1:226680.636507	2	2
ERR1:2273890.607820	2	2
ERR1:2275960.656702	2	2
ERR1:2287850.627315	2	2
ERR1:228830.660099	2	2
ERR1:23130.636446	2	2
ERR1:231360.649963	2	2
ERR1:23190.655330	2	2
ERR1:232050.613998	2	2
ERR1:234100.652233	2	2
ERR1:2343180.689257	2	2
ERR1:2349100.607376	2	2
ERR1:235560.634575	2	2
ERR1:237530.696918	2	2
ERR1:239850.627398	2	2
ERR1:2407340.643285	2	2
ERR1:241050.657281	2	2
ERR1:241320.627059	2	2
ERR1:241450.699110	2	2
ERR1:241500.627146	2	2
ERR1:246430.632683	2	2
ERR1:250150.615148	2	2
ERR1:255300.600623	2	2
ERR1:255610.603202	2	2
ERR1:258010.699589	2	2
ERR1:258400.612035	2	2
ERR1:259630.678681	2	2
ERR1:26020.623559	2	2
ERR1:261580.675737	2	2
ERR1:264630.623149	2	2
ERR1:265680.649220	2	2
ERR1:265830.687240	2	2
ERR1:265880.664354	2	2
ERR1:266670.693132	2	2
ERR1:269030.620497	2	2
ERR1:269870.648498	2	2
ERR1:273370.667382	2	2
ERR1:274260.664341	2	2
ERR1:274460.686873	2	2
ERR1:275020.677897	2	2
