OTU	ERR1308239	classification
ERR1308239:1247160.617239	38	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Psectrocladius;Psectrocladius octomaculatus
ERR1308239:1004950.623005	36	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Phoxinus;Phoxinus phoxinus
ERR1308239:1021980.630862	36	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Orconectes;Orconectes jeffersoni
ERR1308239:1355800.604201	35	Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Brachymyrmex;Brachymyrmex depilis
ERR1308239:1003940.624621	34	Eukaryota;Nematoda;Chromadorea;Rhabditida;Protostrongylidae;Protostrongylus;Protostrongylus rufescens
ERR1308239:1021050.619326	33	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera
ERR1308239:1039780.633527	33	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Podospongiidae;Diacarnus;Diacarnus spinipoculum
ERR1308239:1014280.611647	32	Eukaryota;Arthropoda;Insecta;Hymenoptera;Trigonalidae;Taeniogonalos;Taeniogonalos taihorina
ERR1308239:109710.608083	32	Eukaryota;Arthropoda;Insecta;Diptera;Cecidomyiidae;Contarinia;Contarinia fagi
ERR1308239:1118760.602343	32	Eukaryota;Porifera;Demospongiae;Astrophorida;Geodiidae;Geodia;Geodia papyracea
ERR1308239:1018980.603523	31	Eukaryota;Arthropoda;Insecta;Hemiptera;Delphacidae;Eurybregma;Eurybregma obesa
ERR1308239:1121470.600448	31	Eukaryota;Arthropoda;Insecta;Lepidoptera;Erebidae;Vamuna;Vamuna virilis
ERR1308239:2655920.622968	31	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila karakasa
ERR1308239:1027550.603055	30	Eukaryota;Arthropoda;Insecta;Diptera;Sciomyzidae;Pherbellia;Pherbellia ventralis
ERR1308239:1033220.605303	30	Eukaryota;Entoprocta;Loxosomatidae;Loxosomella;Loxosomella aloxiata
ERR1308239:1102490.615135	29	Eukaryota;Entoprocta;Loxosomatidae;Loxocorone;Loxocorone allax
ERR1308239:1117230.616614	29	Eukaryota;Arthropoda;Insecta;Diptera;Ptychopteridae;Bittacomorphella;Bittacomorphella fenderiana
ERR1308239:1137600.622004	29	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Cambarellus;Cambarellus diminutus
ERR1308239:1007020.606996	28	Eukaryota;Arthropoda;Insecta;Diptera;Tachinidae;Elodia;Elodia flavipalpis
ERR1308239:1008250.608458	28	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila trifilum
ERR1308239:1047900.605302	28	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Orconectes;Orconectes jeffersoni
ERR1308239:1032520.609261	27	Eukaryota;Arthropoda;Insecta;Lepidoptera;Crambidae;Paracymoriza;Paracymoriza distinctalis
ERR1308239:1223450.615686	27	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadellidae;Macrosteles;Macrosteles sexnotatus
ERR1308239:1002030.604606	26	Eukaryota;Arthropoda;Insecta;Lepidoptera;Noctuidae;Schinia;Schinia cognata
ERR1308239:1044270.632397	26	Eukaryota;Mollusca;Gastropoda;Bradybaenidae;Mastigeulota;Mastigeulota kiangsinensis
ERR1308239:1231640.705565	26	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Axinella;Axinella corrugata
ERR1308239:1016890.603597	25	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Limnophyes;Limnophyes pumilio
ERR1308239:1023610.604758	25	Eukaryota;Arthropoda;Insecta;Lepidoptera;Noctuidae;Noctua;Noctua atlantica
ERR1308239:1108020.620872	24	Eukaryota;Mollusca;Gastropoda;Nudibranchia;Polyceridae;Tambja;Tambja ceutae
ERR1308239:1194470.611848	24	Eukaryota;Nematoda;Chromadorea;Ascaridida;Ascarididae;Baylisascaris;Baylisascaris ailuri
ERR1308239:1003490.608673	23	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila nigella
ERR1308239:1019130.602426	23	Eukaryota;Arthropoda;Insecta;Diptera;Sciomyzidae;Pherbellia;Pherbellia silana
ERR1308239:1036150.635336	23	Eukaryota;Mollusca;Gastropoda;Ancylidae;Ancylus;Ancylus fluviatilis
ERR1308239:1037540.603255	23	Eukaryota;Arthropoda;Insecta;Hymenoptera;Vespidae;Vespula;Vespula vulgaris
ERR1308239:1050680.604320	22	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Pseudorthocladius;Pseudorthocladius filiformis
ERR1308239:1065140.611192	22	Eukaryota;Arthropoda;Insecta;Raphidioptera;Inocelliidae;Negha;Negha inflata
ERR1308239:1077650.746911	22	Eukaryota;Arthropoda;Malacostraca;Amphipoda;Hadziidae;Bahadzia;Bahadzia jaraguensis
ERR1308239:2097480.684953	22	Eukaryota;Arthropoda;Insecta;Hemiptera;Aleyrodidae;Vasdavidius;Vasdavidius concursus
ERR1308239:1138460.610016	21	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Acartia;Acartia levequei
ERR1308239:1451410.678281	21	Eukaryota;Echinodermata;Crinoidea;Cyrtocrinida;Holopodidae;Holopus;Holopus rangii
ERR1308239:1018310.605251	20	Eukaryota;Arthropoda;Insecta;Diptera;Simuliidae;Simulium;Simulium verecundum
ERR1308239:1026130.612541	20	Eukaryota;Annelida;Hirudinida;Arhynchobdellida;Haemadipsidae;Philaemon;Philaemon mediorubra
ERR1308239:1034310.611004	20	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila nappae
ERR1308239:1055590.631942	20	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila orosa
ERR1308239:1098960.628925	20	Eukaryota;Arthropoda;Insecta;Diptera;Muscidae;Lispe;Lispe orientalis
