OTU	SRR1808870	classification
SRR11808870:1318010.615968	1111	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Tryella;Tryella burnsi
SRR11808870:1989900.626761	1082	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
SRR11808870:1219450.645285	1072	Eukaryota;Arthropoda;Insecta;Orthoptera;Gryllidae;Velarifictorus;Velarifictorus beybienkoi
SRR11808870:1500570.623912	1028	Eukaryota;Arthropoda;Insecta;Coleoptera;Elateridae;Paraphotistus;Paraphotistus niger
SRR11808870:3519400.636480	1020	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808870:1044910.655422	1000	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Cuninidae;Solmissus;Solmissus incisa
SRR11808870:1384970.626034	986	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Agariciidae;Pavona;Pavona decussata
SRR11808870:1017750.627411	958	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
SRR11808870:1337200.636070	937	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808870:1197960.636488	934	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Euglossa;Euglossa iopyrrha
SRR11808870:1324300.646773	917	Eukaryota;Arthropoda;Insecta;Coleoptera;Lucanidae;Prismognathus;Prismognathus formosanus
SRR11808870:1925090.640269	884	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
SRR11808870:3991970.620544	881	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Westracystis;Westracystis lissus
SRR11808870:2096640.625506	876	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Polyorchidae;Polyorchis;Polyorchis penicillatus
SRR11808870:1019420.613586	875	Eukaryota;Porifera;Demospongiae;Hadromerida;Polymastiidae;Polymastia;Polymastia littoralis
SRR11808870:2782650.631031	842	Eukaryota;Arthropoda;Insecta;Lepidoptera;Pyralidae;Dioryctria;Dioryctria clarioralis
SRR11808870:3450490.605796	734	Eukaryota;Arthropoda;Arachnida;Astigmata;Psoroptidae;Otodectes;Otodectes cynotis
SRR11808870:2118280.603471	728	Eukaryota;Entoprocta;Loxosomatidae;Loxosomella;Loxosomella aloxiata
SRR11808870:1537150.650820	725	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
SRR11808870:1981520.641622	719	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza agromyzina
SRR11808870:1020100.658693	713	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza nr. acteae
SRR11808870:2039610.617893	705	Eukaryota;Annelida;Haplotaxida;Naididae;Tubificoides;Tubificoides pseudogaster
SRR11808870:1998110.639934	704	Eukaryota;Mollusca;Gastropoda;Lymnaeidae;Galba;Galba pervia
SRR11808870:1544600.628503	696	Eukaryota;Cnidaria;Anthozoa;Actiniaria;Hormathiidae;Hormathia;Hormathia digitata
SRR11808870:1169730.618631	666	Eukaryota;Placozoa;Trichoplax;Trichoplax adhaerens
SRR11808870:796760.649795	662	Eukaryota;Placozoa;Trichoplax;Trichoplax adhaerens
SRR11808870:1082350.625986	660	Eukaryota;Porifera;Demospongiae;Haplosclerida;Lubomirskiidae;Rezinkovia;Rezinkovia echinata
SRR11808870:1180340.637356	657	Eukaryota;Annelida;Polychaeta;Spionida;Spionidae;Scolelepis;Scolelepis foliosa
SRR11808870:1563830.623114	653	Eukaryota;Mollusca;Gastropoda;Planorbidae;Planorbula;Planorbula armigera
SRR11808870:1996540.647730	642	Eukaryota;Arthropoda;Insecta;Neuroptera;Rapismatidae;Rapisma;Rapisma xizangense
SRR11808870:1580580.655586	634	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808870:1891010.633661	626	Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Gorgoniidae;Antillogorgia;Antillogorgia bipinnata
SRR11808870:1091620.600221	622	Eukaryota;Cnidaria;Hydrozoa;Trachymedusae;Rhopalonematidae;Pantachogon;Pantachogon haeckeli
SRR11808870:1403050.616788	598	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Amphicaryon;Amphicaryon peltifera
SRR11808870:2726860.600358	578	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Paracartia;Paracartia grani
SRR11808870:1294960.639212	574	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
SRR11808870:2025140.643653	563	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Toxomerus;Toxomerus pallipes
SRR11808870:2739040.656507	552	Eukaryota;Arthropoda;Insecta;Lepidoptera;Papilionidae;Papilio;Papilio indra
SRR11808870:1357080.654031	550	Eukaryota;Arthropoda;Insecta;Orthoptera;Gryllidae;Agnotecous;Agnotecous occidentalis
SRR11808870:2042210.609929	519	Eukaryota;Annelida;Polychaeta;Phyllodocida;Glyceridae;Glycera;Glycera alba
SRR11808870:1112810.649387	510	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
SRR11808870:100700.617629	501	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Chromatomyia;Chromatomyia scolopendri
SRR11808870:1147450.634662	497	Eukaryota;Arthropoda;Insecta;Coleoptera;Dytiscidae;Thermonectus;Thermonectus intermedius
SRR11808870:1172820.612930	496	Eukaryota;Arthropoda;Insecta;Lepidoptera;Noctuidae;Noctua;Noctua atlantica
SRR11808870:880930.637381	495	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Peloparion;Peloparion submissus
SRR11808870:1504570.639965	493	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
SRR11808870:1833810.650798	483	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Merulinidae;Platygyra;Platygyra carnosus
SRR11808870:1688140.664616	481	Eukaryota;Mollusca;Gastropoda;Calyptraeidae;Crepidula;Crepidula tegulicia
SRR11808870:2097660.648146	473	Eukaryota;Arthropoda;Insecta;Lepidoptera;Riodinidae;Mesosemia;Mesosemia esmeralda
SRR11808870:2746460.610976	473	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
SRR11808870:1010910.600481	468	Eukaryota;Arthropoda;Insecta;Diptera;Sarcophagidae;Blaesoxipha;Blaesoxipha eleodis
SRR11808870:1086760.657959	468	Eukaryota;Arthropoda;Insecta;Diptera;Muscidae;Neomyia;Neomyia lauta
SRR11808870:1922260.603538	461	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808870:785530.639887	457	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotidae;Aspidiophorus;Aspidiophorus ophiodermus
SRR11808870:2731450.613775	449	Eukaryota;Mollusca;Gastropoda;Runcinidae;Runcina;Runcina coronata
SRR11808870:1774300.650970	436	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
SRR11808870:1044050.601884	428	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia rubriversa
SRR11808870:1199560.637441	427	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia rubriversa
SRR11808870:1271560.602120	425	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
SRR11808870:1865670.635502	420	Eukaryota;Arthropoda;Malacostraca;Decapoda;Callianassidae;Paraglypturus;Paraglypturus tonganus (nomen nudum)
SRR11808870:1036780.622821	415	Eukaryota;Mollusca;Gastropoda;Runcinidae;Runcina;Runcina coronata
SRR11808870:1052910.681712	409	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia lanosa
SRR11808870:1884480.631081	409	Eukaryota;Arthropoda;Arachnida;Scorpiones;Bothriuridae;Brachistosternus;Brachistosternus aconcagua
SRR11808870:3673960.632080	390	Eukaryota;Porifera;Demospongiae;Haplosclerida;Petrosiidae;Xestospongia;Xestospongia proxima
SRR11808870:1164500.665491	383	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Toxomerus;Toxomerus costalis
SRR11808870:1924980.601915	383	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Hydractiniidae;Clava;Clava multicornis
SRR11808870:1033740.650468	373	Eukaryota;Arthropoda;Insecta;Lepidoptera;Hesperiidae;Hasora;Hasora vitta
SRR11808870:1875080.620972	373	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza urbana
SRR11808870:335740.696406	368	Eukaryota;Arthropoda;Insecta;Coleoptera;Carabidae;Lesticus;Lesticus holzschuhi
SRR11808870:871780.610630	362	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Caldwellia;Caldwellia angularis
SRR11808870:1183380.621798	360	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Pocilloporidae;Pocillopora;Pocillopora eydouxi
SRR11808870:123240.615781	353	Eukaryota;Mollusca;Gastropoda;Ariophantidae;Victaphanta;Victaphanta lampra
SRR11808870:123800.619692	353	Eukaryota;Platyhelminthes;Cestoda;Bothriocephalidea;Triaenophoridae;Anchistrocephalus;Anchistrocephalus microcephalus
SRR11808870:2685660.621479	352	Eukaryota;Cnidaria;Hydrozoa;Trachymedusae;Rhopalonematidae;Pantachogon;Pantachogon haeckeli
SRR11808870:3668840.647116	345	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
SRR11808870:1009880.642376	340	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Toxomerus;Toxomerus pallipes
SRR11808870:24260.605379	339	Eukaryota;Mollusca;Gastropoda;Lymnaeidae;Galba;Galba pervia
SRR11808870:1865590.609988	335	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
SRR11808870:1079840.646777	327	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808870:1204300.620189	323	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila malagassya
SRR11808870:1356400.642920	321	Eukaryota;Arthropoda;Insecta;Coleoptera;Cerambycidae;Xenohammus;Xenohammus bimaculatus
SRR11808870:1094340.676190	311	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia rubriversa
SRR11808870:1582250.661024	304	Eukaryota;Arthropoda;Arachnida;Scorpiones;Diplocentridae;Didymocentrus;Didymocentrus lesueurii
SRR11808870:1836520.602708	301	Eukaryota;Arthropoda;Insecta;Coleoptera;Silphidae;Nicrophorus;Nicrophorus carolinus
SRR11808870:126270.626277	298	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza nr. calthivora
SRR11808870:1548120.659464	298	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza gymnostoma
SRR11808870:1052580.614657	297	Eukaryota;Arthropoda;Arachnida;Araneae;Nephilidae;Nephila;Nephila sumptuosa
SRR11808870:1145230.615593	297	Eukaryota;Arthropoda;Arachnida;Araneae;Araneidae;Mastophora;Mastophora phrynosoma
SRR11808870:1580820.621845	294	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nolidae;Gabala;Gabala argentata
SRR11808870:1906050.642355	287	Eukaryota;Mollusca;Gastropoda;Nudibranchia;Dorididae;Aldisa;Aldisa banyulensis
SRR11808870:1914650.621410	285	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Dagon;Dagon pusillus
SRR11808870:1139310.633264	284	Eukaryota;Nematoda;Chromadorea;Spirurida;Physalopteridae;Heliconema;Heliconema longissimum
SRR11808870:794000.657065	284	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Peloparion;Peloparion submissus
SRR11808870:1894840.612219	283	Eukaryota;Arthropoda;Insecta;Lepidoptera;Papilionidae;Papilio;Papilio indra
SRR11808870:2342000.643253	282	Eukaryota;Mollusca;Gastropoda;Planorbidae;Planorbula;Planorbula armigera
SRR11808870:2304770.602777	281	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza trivittata
SRR11808870:1294380.636392	279	Eukaryota;Porifera;Demospongiae;Hadromerida;Tethyidae;Tethya;Tethya actinia
SRR11808870:1043270.641011	277	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Falcatpsalta (nomen nudum);Falcatpsalta aquila (nomen nudum)
SRR11808870:2439350.644507	277	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya dubia
SRR11808870:1865130.639266	276	Eukaryota;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Scarabaeus;Scarabaeus flavicornis
SRR11808870:1626890.626600	271	Eukaryota;Arthropoda;Insecta;Coleoptera;Staphylinidae;Amarochara;Amarochara brevios
SRR11808870:1963650.643590	271	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Paragus;Paragus albifrons
SRR11808870:143180.631343	266	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Acraea;Acraea oberthueri
SRR11808870:1892320.604481	266	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
SRR11808870:1363650.602753	265	Eukaryota;Arthropoda;Insecta;Coleoptera;Staphylinidae;Aleochara;Aleochara mahagi
SRR11808870:3156960.610197	264	Eukaryota;Annelida;Polychaeta;Terebellida;Alvinellidae;Paralvinella;Paralvinella sulfincola
SRR11808870:781200.675164	264	Eukaryota;Arthropoda;Insecta;Diptera;Pachyneuridae;Cramptonomyia;Cramptonomyia spenceri
SRR11808870:3155030.646110	263	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya dubia
SRR11808870:1231010.676133	261	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
SRR11808870:1142380.609577	260	Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia;Clytia hemisphaerica
SRR11808870:1413880.635478	260	Eukaryota;Arthropoda;Insecta;Lepidoptera;Tortricidae;Clepsis;Clepsis anderslaneyii
SRR11808870:1916450.628417	260	Eukaryota;Nematoda;Chromadorea;Rhabditida;Metastrongylidae;Metastrongylus;Metastrongylus salmi
SRR11808870:1933320.602596	260	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia rubriversa
SRR11808870:1996550.609388	260	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Fazia;Fazia strigifacies
SRR11808870:1280680.639740	259	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
SRR11808870:1374620.614568	259	Eukaryota;Arthropoda;Arachnida;Mesostigmata;Laelapidae;Stratiolaelaps;Stratiolaelaps marilyn
SRR11808870:1528260.659749	254	Eukaryota;Platyhelminthes;Trematoda;Echinostomida;Notocotylidae;Ogmocotyle;Ogmocotyle sikae
SRR11808870:3668600.650543	254	Eukaryota;Chordata;Actinopteri;Synbranchiformes;Indostomidae;Indostomus;Indostomus paradoxus
SRR11808870:1876140.683643	253	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Peloparion;Peloparion submissus
SRR11808870:245470.654864	253	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Eucondylops;Eucondylops konowi
SRR11808870:1314930.616171	250	Eukaryota;Mollusca;Gastropoda;Lymnaeidae;Galba;Galba pervia
SRR11808870:225170.613641	248	Eukaryota;Nematoda;Chromadorea;Rhabditida;Filaroididae;Parafilaroides;Parafilaroides normani
SRR11808870:2397760.639183	247	Eukaryota;Mollusca;Gastropoda;Volutidae;Cymbiola;Cymbiola pulchra
SRR11808870:1958500.649877	242	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Marpesia;Marpesia eleuchea
SRR11808870:1065440.630401	237	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Chersonesia;Chersonesia rahria
SRR11808870:2316280.614563	235	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila bandeirantorum
SRR11808870:2481280.613156	235	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Ypthima;Ypthima akragas
SRR11808870:4927860.622233	235	Eukaryota;Annelida;Haplotaxida;Naididae;Paranais;Paranais litoralis
SRR11808870:1872540.600618	231	Eukaryota;Annelida;Polychaeta;Spionida;Spionidae;Streblospio;Streblospio shrubsolii
SRR11808870:1396420.634846	230	Eukaryota;Rotifera;Monogononta;Ploima;Asplanchnidae;Asplanchna;Asplanchna sieboldi
SRR11808870:1000740.611404	226	Eukaryota;Arthropoda;Arachnida;Araneae;Araneidae;Argiope;Argiope protensa
SRR11808870:1235770.619229	226	Eukaryota;Nematoda;Chromadorea;Rhabditida;Dictyocaulidae;Dictyocaulus;Dictyocaulus eckerti
SRR11808870:2012960.612795	223	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Echonitor;Echonitor cyrtochila
SRR11808870:3189260.604610	221	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Desmacellidae;Biemna;Biemna fistulosa
SRR11808870:2509000.637386	219	Eukaryota;Arthropoda;Insecta;Diptera;Bombyliidae;Bombylius;Bombylius major
SRR11808870:3289420.647773	217	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Dideopsis;Dideopsis aegrota
SRR11808870:1024120.687843	216	Eukaryota;Echinodermata;Crinoidea;Comatulida;Colobometridae;Oligometra;Oligometra serripinna
SRR11808870:1524970.637540	216	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia lanosa
SRR11808870:1888760.669270	216	Eukaryota;Nematoda;Chromadorea;Rhabditida;Metastrongylidae;Metastrongylus;Metastrongylus pudendotectus
SRR11808870:1351550.610460	209	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila bandeirantorum
SRR11808870:1696330.603298	209	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Helicarion;Helicarion mastersi
SRR11808870:3572860.628378	209	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808870:1070190.632573	203	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
SRR11808870:1189720.650230	203	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808870:3491920.666748	201	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia rubriversa
SRR11808870:752690.610710	201	Eukaryota;Cnidaria;Hydrozoa;Limnomedusae;Olindiasidae;Cubaia;Cubaia aphrodite
SRR11808870:1381800.600740	199	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Sympagohydridae;Sympagohydra;Sympagohydra tuuli
SRR11808870:3139380.643782	196	Eukaryota;Arthropoda;Arachnida;Araneae;Salticidae;Mabellina;Mabellina prescotti
SRR11808870:1016950.620540	194	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia lanosa
SRR11808870:3509900.627283	194	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia rubriversa
SRR11808870:1143810.620593	193	Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Plakina;Plakina monolopha
SRR11808870:2348600.627136	190	Eukaryota;Arthropoda;Insecta;Hymenoptera;Eulophidae;Neochrysocharis;Neochrysocharis okazakii
SRR11808870:1081900.612126	186	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808870:3019600.625266	185	Eukaryota;Arthropoda;Insecta;Coleoptera;Staphylinidae;Ocalea;Ocalea vancouveri
SRR11808870:2311490.607945	184	Eukaryota;Mollusca;Gastropoda;Raphitomidae;Veprecula;Veprecula vepratica
SRR11808870:789900.616696	184	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
SRR11808870:1516390.606043	183	Eukaryota;Arthropoda;Insecta;Coleoptera;Staphylinidae;Meronera;Meronera venustula
SRR11808870:1891460.635856	183	Eukaryota;Arthropoda;Arachnida;Opiliones;Sironidae;Siro;Siro clousi
SRR11808870:1524750.659710	182	Eukaryota;Arthropoda;Arachnida;Araneae;Dysderidae;Parachtes;Parachtes andreinii
SRR11808870:1884780.615813	182	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Zancleidae;Zanclea;Zanclea sango
SRR11808870:2038460.628574	182	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
SRR11808870:103720.619648	181	Eukaryota;Chordata;Mammalia;Diprotodontia;Pseudocheiridae;Petauroides;Petauroides volans
SRR11808870:1918220.634582	177	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
SRR11808870:3176860.655263	175	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya dubia
SRR11808870:1745300.676116	174	Eukaryota;Arthropoda;Insecta;Diptera;Tachinidae;Zelia;Zelia vertebrata
SRR11808870:2017090.643869	174	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Amphicaryon;Amphicaryon peltifera
SRR11808870:1409310.658658	173	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Euglossa;Euglossa retroviridis
SRR11808870:1270430.618095	172	Eukaryota;Arthropoda;Insecta;Hymenoptera;Agaonidae;Dolichoris;Dolichoris subtrinervianae
SRR11808870:1632450.618359	172	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotidae;Lepidochaetus;Lepidochaetus brasilense
SRR11808870:2360080.634896	171	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
SRR11808870:1022810.621579	170	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
SRR11808870:1390950.623780	167	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Pauropsalta;Pauropsalta borealis
SRR11808870:1007000.635321	166	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia rubriversa
SRR11808870:1937510.653045	164	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Peloparion;Peloparion submissus
SRR11808870:1092790.623382	161	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Godyris;Godyris duillia
SRR11808870:1506840.632960	161	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Sarsia;Sarsia princeps
SRR11808870:3150220.644698	161	Eukaryota;Arthropoda;Insecta;Hymenoptera;Sphecidae;Parapsammophila;Parapsammophila turanica
