OTU	ERR0000001	ERR0000002	ERR0000003	ERR0000004	ERR0000005	ERR0000006	ERR0000007	ERR0000008	ERR0000009	ERR0000010	ERR0000011	ERR0000012	ERR0000014	ERR0000015	ERR0000016	ERR0000017	ERR0000018	ERR0000019	ERR0000020	ERR0000021	ERR0000022	ERR0000023	ERR0000024	ERR0000025	ERR0000026	ERR0000027	ERR0000028	ERR0000029	ERR0000030	ERR0000031	ERR0000032	ERR0000033	ERR0000034	ERR0000035	ERR0000036	ERR0000037	ERR0000038	ERR0000039	ERR0000040	ERR0000041	ERR0000042	ERR0000043	ERR0000044	ERR0000045	ERR0000046	ERR0000048	ERR0000049	ERR0000050	ERR0000051	ERR0000052	ERR0000053	ERR0000054	ERR0000055	ERR0000056	ERR0000057	ERR0000058	ERR0000059	ERR0000060	ERR0000061	ERR0000062	ERR0000063	ERR0000064	ERR0000065	ERR0000066	ERR0000067	ERR0000068	ERR0000069	ERR0000070	ERR0000071	ERR0000072	ERR0000073	classification
ERR36:1408790.610903	2	1	0	2	6	3	7	4	6	5	7	9	0	12	0	1	10	1	0	0	1	0	0	1	1	0	1	0	0	1	15	20	22	9	13	0	29	0	5	17	15	6	0	22	13	14	6	7	0	0	0	0	0	25	0	7	4	26	13	14	11	0	1	7	0	15	31	20	8	21	32	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Astreopora;Astreopora explanata
ERR12:1767370.627942	3	17	5	19	11	12	14	9	7	4	12	44	0	25	1	4	44	0	0	0	0	0	0	1	0	0	0	0	1	1	5	12	8	9	9	0	10	0	3	9	5	3	0	9	7	2	10	5	0	0	0	0	0	20	0	7	0	22	10	6	8	1	0	7	1	10	21	18	16	12	29	Eukaryota;Gastrotricha;Macrodasyida;Thaumastodermatidae;Tetranchyroderma;Tetranchyroderma quadritentaculatum
ERR68:338810.609274	0	0	0	0	53	0	0	0	102	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	9	0	1	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;Serpula vermicularis
ERR43:272330.617879	1	1	0	1	0	0	1	2	0	0	0	4	0	4	1	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	14	18	14	7	12	0	20	0	2	17	21	36	0	19	6	1	17	13	2	0	0	0	0	16	1	15	1	13	14	6	13	1	1	9	0	11	8	42	19	30	17	Eukaryota;Arthropoda;Insecta;Plecoptera;Perlidae;Acroneuria;Acroneuria hainana
ERR2:240480.604408	15	66	22	66	52	45	51	42	35	0	1	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	3	3	4	0	1	0	0	1	2	1	0	7	2	2	3	1	1	0	0	0	0	0	0	1	1	3	4	1	2	0	0	0	0	0	1	0	1	1	1	Eukaryota;Porifera;Demospongiae;Haplosclerida;Lubomirskiidae;Rezinkovia;Rezinkovia echinata
ERR23:849090.605218	2	6	2	11	1	3	4	1	1	0	0	0	0	1	0	0	0	0	0	0	0	147	0	0	0	161	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	8	6	1	0	3	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	Eukaryota;Nemertea;Enopla;Monostilifera;Prosorhochmidae;Prosadenoporus;Prosadenoporus spectaculum
ERR34:1267090.640997	0	0	0	0	18	0	4	1	31	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	16	0	2	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	6	0	187	0	0	0	1	0	Eukaryota;Nematoda;Chromadorea;Rhabditida;Filaroididae;Parafilaroides;Parafilaroides normani
ERR73:466980.640159	9	56	14	15	14	4	6	3	0	4	9	7	0	4	0	0	7	0	0	0	1	0	0	2	0	0	0	0	0	0	25	35	27	9	15	0	15	1	3	8	15	7	0	12	3	4	3	3	0	0	0	0	0	13	0	6	1	13	6	5	1	0	1	2	0	2	4	17	4	1	8	Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;Serpula vermicularis
ERR68:1015630.605670	0	0	0	0	44	0	2	0	38	0	38	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	75	0	11	0	0	0	50	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	3	0	145	0	0	0	0	0	Eukaryota;Gastrotricha;Macrodasyida;Thaumastodermatidae;Tetranchyroderma;Tetranchyroderma quadritentaculatum
ERR33:1143720.629906	0	0	2	1	0	2	3	2	0	1	3	3	2	4	0	1	2	0	0	0	0	0	0	2	0	0	1	1	1	0	11	22	13	13	16	1	23	1	3	11	5	8	0	11	7	6	8	9	1	0	0	0	0	20	0	5	2	38	12	4	9	1	1	9	0	8	20	24	15	22	22	Eukaryota;Platyhelminthes;Cestoda;Tetraphyllidea;Phyllobothriidae;Clistobothrium;Clistobothrium montaukensis
