amplicon	linearized.dereplicate_ERR0000002.merged.fastq	total
ERR2:::12590:0:0:0:0.709475	3	3
ERR2:::12628:0:0:0:0.725337	3	3
ERR2:::12687:0:0:0:0.711151	3	3
ERR2:::13143:0:0:0:0.726284	3	3
ERR2:::13366:0:0:0:0.608245	3	3
ERR2:::13606:0:0:0:0.724862	3	3
ERR2:::13616:0:0:0:0.734948	3	3
ERR2:::14142:0:0:0:0.724145	3	3
ERR2:::14334:0:0:0:0.722043	3	3
ERR2:::144:0:0:0:0.719714	3	3
ERR2:::15274:0:0:0:0.730297	3	3
ERR2:::15417:0:0:0:0.699683	3	3
ERR2:::15695:0:0:0:0.627558	3	3
ERR2:::16082:0:0:0:0.717081	3	3
ERR2:::16215:0:0:0:0.739577	3	3
ERR2:::16578:0:0:0:0.731944	3	3
ERR2:::16652:0:0:0:0.726062	3	3
ERR2:::16670:0:0:0:0.722667	3	3
ERR2:::16823:0:0:0:0.737340	3	3
ERR2:::16886:0:0:0:0.646632	3	3
ERR2:::16972:0:0:0:0.719154	3	3
ERR2:::17008:0:0:0:0.736189	3	3
ERR2:::17093:0:0:0:0.731659	3	3
ERR2:::17373:0:0:0:0.703160	3	3
ERR2:::17576:0:0:0:0.718417	3	3
ERR2:::17739:0:0:0:0.706713	3	3
ERR2:::1784:0:0:0:0.718499	3	3
ERR2:::18148:0:0:0:0.710834	3	3
ERR2:::18212:0:0:0:0.735568	3	3
ERR2:::18505:0:0:0:0.708978	3	3
ERR2:::1887:0:0:0:0.741451	3	3
ERR2:::1898:0:0:0:0.730708	3	3
ERR2:::19014:0:0:0:0.735422	3	3
ERR2:::19153:0:0:0:0.709787	3	3
ERR2:::19244:0:0:0:0.726758	3	3
ERR2:::19295:0:0:0:0.731160	3	3
ERR2:::19378:0:0:0:0.739285	3	3
ERR2:::19663:0:0:0:0.740994	3	3
ERR2:::19836:0:0:0:0.711015	3	3
ERR2:::1987:0:0:0:0.698667	3	3
ERR2:::20703:0:0:0:0.721589	3	3
ERR2:::20715:0:0:0:0.734611	3	3
ERR2:::20777:0:0:0:0.644841	3	3
ERR2:::20807:0:0:0:0.726570	3	3
ERR2:::20857:0:0:0:0.737993	3	3
ERR2:::21165:0:0:0:0.743119	3	3
ERR2:::21250:0:0:0:0.735341	3	3
ERR2:::21256:0:0:0:0.737616	3	3
ERR2:::21335:0:0:0:0.733333	3	3
ERR2:::21511:0:0:0:0.728254	3	3
ERR2:::21737:0:0:0:0.709822	3	3
ERR2:::22008:0:0:0:0.738081	3	3
ERR2:::22090:0:0:0:0.724837	3	3
ERR2:::22211:0:0:0:0.648902	3	3
ERR2:::2239:0:0:0:0.684795	3	3
ERR2:::22470:0:0:0:0.715181	3	3
ERR2:::2287:0:0:0:0.720929	3	3
ERR2:::23180:0:0:0:0.729859	3	3
ERR2:::24087:0:0:0:0.724728	3	3
ERR2:::24143:0:0:0:0.729646	3	3
ERR2:::2419:0:0:0:0.721150	3	3
ERR2:::24217:0:0:0:0.736919	3	3
ERR2:::24287:0:0:0:0.724131	3	3
ERR2:::24371:0:0:0:0.715299	3	3
ERR2:::2484:0:0:0:0.728407	3	3
ERR2:::25041:0:0:0:0.723750	3	3
ERR2:::25204:0:0:0:0.716857	3	3
ERR2:::25223:0:0:0:0.718713	3	3
ERR2:::25259:0:0:0:0.715542	3	3
ERR2:::2556:0:0:0:0.742086	3	3
ERR2:::25731:0:0:0:0.722289	3	3
ERR2:::25775:0:0:0:0.723027	3	3
ERR2:::25803:0:0:0:0.727289	3	3
ERR2:::25896:0:0:0:0.734576	3	3
ERR2:::25960:0:0:0:0.722260	3	3
ERR2:::26047:0:0:0:0.686313	3	3
ERR2:::26070:0:0:0:0.711133	3	3
ERR2:::263:0:0:0:0.728985	3	3
ERR2:::26320:0:0:0:0.729262	3	3
ERR2:::26348:0:0:0:0.705082	3	3
ERR2:::2681:0:0:0:0.699523	3	3
ERR2:::27760:0:0:0:0.737590	3	3
ERR2:::27803:0:0:0:0.731688	3	3
ERR2:::27820:0:0:0:0.741099	3	3
ERR2:::27860:0:0:0:0.731339	3	3
ERR2:::28339:0:0:0:0.715501	3	3
ERR2:::28365:0:0:0:0.732667	3	3
ERR2:::28714:0:0:0:0.725240	3	3
ERR2:::28938:0:0:0:0.728760	3	3
ERR2:::29419:0:0:0:0.704431	3	3
