OTU	amplicon	SRR1808870	total
924	SRR11808870:1400330.644244	2	2
925	SRR11808870:1400430.650937	2	2
926	SRR11808870:1409160.636227	2	2
928	SRR11808870:1409800.652005	2	2
930	SRR11808870:1417000.646213	2	2
931	SRR11808870:1417990.633595	2	2
934	SRR11808870:1425250.640617	2	2
935	SRR11808870:1427760.643578	2	2
941	SRR11808870:1454720.605659	2	2
942	SRR11808870:145640.640510	2	2
943	SRR11808870:1458930.642841	2	2
944	SRR11808870:1461860.645991	2	2
945	SRR11808870:1465330.647031	2	2
946	SRR11808870:1467770.649115	2	2
947	SRR11808870:1467780.619435	2	2
948	SRR11808870:1468530.605319	2	2
949	SRR11808870:1474900.610813	2	2
950	SRR11808870:1475200.635851	2	2
952	SRR11808870:1478520.625616	2	2
955	SRR11808870:148930.617385	2	2
956	SRR11808870:1491610.601728	2	2
957	SRR11808870:1494850.624869	2	2
958	SRR11808870:1495170.628429	2	2
959	SRR11808870:1495820.615665	2	2
962	SRR11808870:1501510.633311	2	2
965	SRR11808870:1503150.646536	2	2
968	SRR11808870:1507020.646605	2	2
971	SRR11808870:1513330.620857	2	2
973	SRR11808870:1516610.616168	2	2
974	SRR11808870:1518500.660697	2	2
975	SRR11808870:1519680.623005	2	2
976	SRR11808870:1522290.603971	2	2
977	SRR11808870:1522510.616013	2	2
980	SRR11808870:1524600.645495	2	2
982	SRR11808870:1524850.639843	2	2
984	SRR11808870:1525790.639924	2	2
985	SRR11808870:1526810.623767	2	2
987	SRR11808870:1527460.620662	2	2
989	SRR11808870:1529080.623684	2	2
990	SRR11808870:1529280.643376	2	2
992	SRR11808870:1529930.673007	2	2
994	SRR11808870:1531880.619517	2	2
995	SRR11808870:1532430.605133	2	2
996	SRR11808870:1535380.636742	2	2
1000	SRR11808870:1542140.626036	2	2
1001	SRR11808870:1543300.617350	2	2
1003	SRR11808870:1544640.610010	2	2
1004	SRR11808870:1548880.637855	2	2
1005	SRR11808870:1550000.626703	2	2
1008	SRR11808870:1553360.645987	2	2
1009	SRR11808870:1556080.617190	2	2
1013	SRR11808870:1559780.610806	2	2
1014	SRR11808870:1560610.619831	2	2
1015	SRR11808870:1560680.652364	2	2
1016	SRR11808870:1560720.635754	2	2
1017	SRR11808870:1561920.613006	2	2
1019	SRR11808870:1563310.652595	2	2
1021	SRR11808870:1569630.651063	2	2
1022	SRR11808870:1569740.647905	2	2
1025	SRR11808870:1578900.600479	2	2
1027	SRR11808870:1581620.636238	2	2
1030	SRR11808870:1588630.636223	2	2
1031	SRR11808870:1589650.674996	2	2
1032	SRR11808870:1590320.662205	2	2
1033	SRR11808870:1591170.630587	2	2
1034	SRR11808870:15960.662772	2	2
1036	SRR11808870:1598600.606843	2	2
1037	SRR11808870:1601260.635175	2	2
1039	SRR11808870:1602270.604663	2	2
1040	SRR11808870:1603820.638025	2	2
1041	SRR11808870:1604760.611166	2	2
1043	SRR11808870:1606130.642732	2	2
1044	SRR11808870:1606240.611116	2	2
1045	SRR11808870:1608270.613126	2	2
1046	SRR11808870:1611020.630890	2	2
1048	SRR11808870:161680.602300	2	2
1050	SRR11808870:1618680.684609	2	2
1051	SRR11808870:1619010.654351	2	2
1053	SRR11808870:1620850.643960	2	2
1054	SRR11808870:1622880.660378	2	2
1055	SRR11808870:1623180.637120	2	2
1056	SRR11808870:1625600.608581	2	2
1057	SRR11808870:1626140.633447	2	2
1059	SRR11808870:1627950.670290	2	2
1060	SRR11808870:162800.630257	2	2
1063	SRR11808870:1637370.614422	2	2
1064	SRR11808870:1642190.610356	2	2
1065	SRR11808870:1643620.642356	2	2
1070	SRR11808870:1650780.602094	2	2
1073	SRR11808870:165300.628146	2	2
1074	SRR11808870:1654180.662681	2	2
1075	SRR11808870:1655860.605962	2	2
1077	SRR11808870:1667480.605059	2	2
1079	SRR11808870:1676630.610827	4	4
1082	SRR11808870:1692540.642969	2	2
1084	SRR11808870:1695980.628708	2	2
1085	SRR11808870:1701170.607818	2	2
1086	SRR11808870:170290.603722	2	2
1087	SRR11808870:1704460.607341	2	2
1088	SRR11808870:1706210.621354	2	2
1090	SRR11808870:1706640.624156	2	2
1091	SRR11808870:1707750.627712	2	2
1092	SRR11808870:1708840.622133	2	2
1093	SRR11808870:1708870.615842	2	2
1094	SRR11808870:1712930.633370	2	2
1095	SRR11808870:1713100.611175	2	2
1096	SRR11808870:1713390.657348	2	2
1097	SRR11808870:1714200.628490	2	2
1098	SRR11808870:1715450.618418	2	2
1099	SRR11808870:1715460.608215	2	2
1100	SRR11808870:1717730.630753	2	2
