OTU	ERR3460466	classification
ERR3460466:942950.600034	4	Eukaryota;Arthropoda;Insecta;Diptera;Clusiidae;Clusiodes;Clusiodes orbitalis
ERR3460466:101490.626743	3	Eukaryota;Chordata;Amphibia;Anura;Ranidae;Odorrana;Odorrana narina
ERR3460466:1023790.610248	3	Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Cephalotes;Cephalotes scutulatus
ERR3460466:1031900.620984	3	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Hadoa;Hadoa chiricahua
ERR3460466:1035570.601793	3	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Bugulidae;Bugula;Bugula simplex
ERR3460466:1054070.606615	3	Eukaryota;Mollusca;Bivalvia;Ostreoida;Ostreidae;Ostrea;Ostrea denselamellosa
ERR3460466:1060830.642762	3	Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Oscarella;Oscarella tuberculata
ERR3460466:1065620.640378	3	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botrylloides;Botrylloides nigrum
ERR3460466:107670.626581	3	Eukaryota;Mollusca;Bivalvia;Ostreoida;Ostreidae;Dendostrea;Dendostrea crenulifera
ERR3460466:1080610.609660	3	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Helicarion;Helicarion mastersi
ERR3460466:1083290.634694	3	Eukaryota;Porifera;Demospongiae;Halichondrida;Hymeniacidonidae;Hymeniacidon;Hymeniacidon sinapium
ERR3460466:1094550.609778	3	Eukaryota;Annelida;Polychaeta;Eunicida;Eunicidae;Marphysa;Marphysa californica
ERR3460466:1096160.631996	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1096210.623255	3	Eukaryota;Chordata;Mammalia;Diprotodontia;Potoroidae;Hypsiprymnodon;Hypsiprymnodon moschatus
ERR3460466:1098670.644835	3	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
