amplicon	linearized.dereplicate_ERR3460466.merged.fastq	total
ERR3460466:::1716:0:0:0:0.621737	2	2
ERR3460466:::17233:0:0:0:0.653860	2	2
ERR3460466:::17244:0:0:0:0.619382	2	2
ERR3460466:::17285:0:0:0:0.602701	2	2
ERR3460466:::17358:0:0:0:0.613787	2	2
ERR3460466:::1743:0:0:0:0.638499	2	2
ERR3460466:::17500:0:0:0:0.616431	2	2
ERR3460466:::17585:0:0:0:0.601156	2	2
ERR3460466:::1769:0:0:0:0.631852	2	2
ERR3460466:::1811:0:0:0:0.618867	2	2
ERR3460466:::18263:0:0:0:0.607805	2	2
ERR3460466:::18389:0:0:0:0.602259	2	2
ERR3460466:::18453:0:0:0:0.648566	2	2
ERR3460466:::18607:0:0:0:0.604352	2	2
ERR3460466:::18654:0:0:0:0.657910	2	2
ERR3460466:::18814:0:0:0:0.613935	2	2
ERR3460466:::1882:0:0:0:0.602748	2	2
ERR3460466:::1884:0:0:0:0.617087	2	2
ERR3460466:::1885:0:0:0:0.651800	2	2
ERR3460466:::1899:0:0:0:0.657790	2	2
ERR3460466:::19166:0:0:0:0.602309	2	2
ERR3460466:::1927:0:0:0:0.664143	2	2
ERR3460466:::19346:0:0:0:0.609226	2	2
ERR3460466:::19398:0:0:0:0.644150	2	2
ERR3460466:::19490:0:0:0:0.619938	2	2
ERR3460466:::19533:0:0:0:0.616047	2	2
ERR3460466:::19534:0:0:0:0.612497	2	2
ERR3460466:::19572:0:0:0:0.600662	2	2
ERR3460466:::19663:0:0:0:0.609031	2	2
ERR3460466:::19821:0:0:0:0.621388	2	2
ERR3460466:::20013:0:0:0:0.656253	2	2
ERR3460466:::2047:0:0:0:0.604576	2	2
ERR3460466:::20588:0:0:0:0.635668	2	2
ERR3460466:::20771:0:0:0:0.660438	2	2
ERR3460466:::20837:0:0:0:0.640854	2	2
ERR3460466:::20981:0:0:0:0.627649	2	2
ERR3460466:::21001:0:0:0:0.607223	2	2
ERR3460466:::21125:0:0:0:0.605456	2	2
ERR3460466:::21136:0:0:0:0.600696	2	2
ERR3460466:::21196:0:0:0:0.671974	2	2
ERR3460466:::21683:0:0:0:0.602515	2	2
ERR3460466:::21858:0:0:0:0.613636	2	2
ERR3460466:::22007:0:0:0:0.652165	2	2
ERR3460466:::22182:0:0:0:0.617571	2	2
ERR3460466:::22277:0:0:0:0.603063	2	2
ERR3460466:::22287:0:0:0:0.614652	2	2
ERR3460466:::22548:0:0:0:0.612710	2	2
ERR3460466:::22614:0:0:0:0.614806	2	2
ERR3460466:::22783:0:0:0:0.630191	2	2
ERR3460466:::22847:0:0:0:0.626267	2	2
ERR3460466:::22887:0:0:0:0.615123	2	2
ERR3460466:::22930:0:0:0:0.614421	2	2
ERR3460466:::2320:0:0:0:0.601672	2	2
ERR3460466:::23290:0:0:0:0.618479	2	2
ERR3460466:::2349:0:0:0:0.629400	2	2
ERR3460466:::2408:0:0:0:0.620155	2	2
