amplicon	ERR0000003	total
ERR3:::2317:0:0:0:0.660087	2	2
ERR3:::23211:0:0:0:0.649748	2	2
ERR3:::23266:0:0:0:0.675234	2	2
ERR3:::23486:0:0:0:0.727569	2	2
ERR3:::23556:0:0:0:0.611945	2	2
ERR3:::23598:0:0:0:0.663648	2	2
ERR3:::23718:0:0:0:0.646475	2	2
ERR3:::24324:0:0:0:0.715671	2	2
ERR3:::24385:0:0:0:0.733579	2	2
ERR3:::24529:0:0:0:0.664072	2	2
ERR3:::24637:0:0:0:0.679134	2	2
ERR3:::24687:0:0:0:0.668907	2	2
ERR3:::24798:0:0:0:0.630051	2	2
ERR3:::25248:0:0:0:0.703083	2	2
ERR3:::2537:0:0:0:0.648451	2	2
ERR3:::2564:0:0:0:0.624838	2	2
ERR3:::26457:0:0:0:0.693620	2	2
ERR3:::26460:0:0:0:0.708124	2	2
ERR3:::26640:0:0:0:0.627604	2	2
ERR3:::2680:0:0:0:0.669761	2	2
ERR3:::2688:0:0:0:0.614666	2	2
ERR3:::26890:0:0:0:0.702871	2	2
ERR3:::26961:0:0:0:0.624400	2	2
ERR3:::27035:0:0:0:0.626137	2	2
ERR3:::27115:0:0:0:0.717273	2	2
ERR3:::27127:0:0:0:0.757702	2	2
ERR3:::27347:0:0:0:0.626351	2	2
ERR3:::27382:0:0:0:0.684316	2	2
ERR3:::27644:0:0:0:0.627312	2	2
ERR3:::27709:0:0:0:0.701851	2	2
ERR3:::27874:0:0:0:0.606926	2	2
ERR3:::28336:0:0:0:0.721887	2	2
ERR3:::2842:0:0:0:0.718772	2	2
ERR3:::28958:0:0:0:0.670656	2	2
ERR3:::29104:0:0:0:0.679465	2	2
ERR3:::29548:0:0:0:0.637538	2	2
ERR3:::2955:0:0:0:0.734449	2	2
ERR3:::29818:0:0:0:0.698799	2	2
ERR3:::30191:0:0:0:0.713819	2	2
ERR3:::30678:0:0:0:0.660575	2	2
ERR3:::31044:0:0:0:0.628986	2	2
ERR3:::3133:0:0:0:0.629439	2	2
ERR3:::3148:0:0:0:0.678181	2	2
ERR3:::31555:0:0:0:0.631430	2	2
ERR3:::31639:0:0:0:0.600042	2	2
ERR3:::31656:0:0:0:0.625617	2	2
ERR3:::31683:0:0:0:0.631950	2	2
ERR3:::31776:0:0:0:0.624417	2	2
ERR3:::32059:0:0:0:0.660786	2	2
ERR3:::32447:0:0:0:0.680436	2	2
ERR3:::32529:0:0:0:0.626659	2	2
ERR3:::33370:0:0:0:0.713921	2	2
ERR3:::33387:0:0:0:0.666833	2	2
ERR3:::33430:0:0:0:0.727395	2	2
ERR3:::33647:0:0:0:0.647193	2	2
ERR3:::33912:0:0:0:0.712906	2	2
ERR3:::33974:0:0:0:0.745815	2	2
ERR3:::34238:0:0:0:0.667017	2	2
ERR3:::34369:0:0:0:0.740634	2	2
ERR3:::34535:0:0:0:0.692540	2	2
ERR3:::34982:0:0:0:0.601148	2	2
ERR3:::35189:0:0:0:0.698372	2	2
ERR3:::35291:0:0:0:0.642027	2	2
ERR3:::35460:0:0:0:0.631868	2	2
ERR3:::35752:0:0:0:0.664145	2	2
ERR3:::35804:0:0:0:0.610671	2	2
ERR3:::36080:0:0:0:0.604779	2	2
ERR3:::36352:0:0:0:0.698847	2	2
ERR3:::36507:0:0:0:0.634039	2	2
ERR3:::36649:0:0:0:0.721679	2	2
ERR3:::36709:0:0:0:0.716678	2	2
ERR3:::36776:0:0:0:0.631643	2	2
ERR3:::36805:0:0:0:0.683208	2	2
ERR3:::3727:0:0:0:0.661264	2	2
ERR3:::3734:0:0:0:0.700510	2	2
ERR3:::3749:0:0:0:0.682852	2	2
ERR3:::3753:0:0:0:0.665263	2	2
ERR3:::37636:0:0:0:0.696466	2	2
ERR3:::3765:0:0:0:0.702492	2	2
ERR3:::37725:0:0:0:0.641585	2	2
ERR3:::38317:0:0:0:0.641376	2	2
ERR3:::38379:0:0:0:0.698401	2	2
ERR3:::38645:0:0:0:0.694852	2	2
ERR3:::38774:0:0:0:0.737456	2	2
ERR3:::38786:0:0:0:0.688387	2	2
ERR3:::38852:0:0:0:0.628513	2	2
ERR3:::39090:0:0:0:0.726916	2	2
ERR3:::3927:0:0:0:0.604701	2	2
ERR3:::39366:0:0:0:0.665035	2	2
ERR3:::39379:0:0:0:0.617023	2	2
ERR3:::39480:0:0:0:0.620857	2	2
ERR3:::39593:0:0:0:0.698977	2	2
ERR3:::39625:0:0:0:0.646196	2	2
ERR3:::39716:0:0:0:0.729941	2	2
ERR3:::3976:0:0:0:0.616604	2	2
ERR3:::40052:0:0:0:0.729269	2	2
ERR3:::40131:0:0:0:0.624168	2	2
ERR3:::40157:0:0:0:0.657208	2	2
ERR3:::40229:0:0:0:0.677524	2	2
ERR3:::40363:0:0:0:0.627013	2	2
ERR3:::40759:0:0:0:0.679712	2	2
ERR3:::41082:0:0:0:0.669237	2	2
ERR3:::41228:0:0:0:0.704374	2	2
ERR3:::41238:0:0:0:0.651220	2	2
ERR3:::41522:0:0:0:0.727812	2	2
ERR3:::41537:0:0:0:0.644931	2	2
ERR3:::4163:0:0:0:0.619797	2	2
ERR3:::41767:0:0:0:0.602431	2	2
ERR3:::420:0:0:0:0.742066	2	2
ERR3:::42817:0:0:0:0.666683	2	2
ERR3:::42838:0:0:0:0.639596	2	2
ERR3:::42973:0:0:0:0.713410	2	2
ERR3:::43112:0:0:0:0.707323	2	2
ERR3:::43558:0:0:0:0.659908	2	2
ERR3:::43742:0:0:0:0.646720	2	2
ERR3:::43747:0:0:0:0.694665	2	2
ERR3:::4379:0:0:0:0.710269	2	2
ERR3:::43963:0:0:0:0.700177	2	2
ERR3:::44231:0:0:0:0.690108	2	2
ERR3:::44566:0:0:0:0.720568	2	2
ERR3:::44680:0:0:0:0.638636	2	2
ERR3:::44796:0:0:0:0.624445	2	2
ERR3:::44847:0:0:0:0.695602	2	2
ERR3:::44876:0:0:0:0.648220	2	2
ERR3:::44959:0:0:0:0.725827	2	2
ERR3:::44987:0:0:0:0.728377	2	2
ERR3:::45079:0:0:0:0.665172	2	2
ERR3:::45087:0:0:0:0.721661	2	2
ERR3:::45319:0:0:0:0.672433	2	2
ERR3:::45357:0:0:0:0.692850	2	2
ERR3:::45507:0:0:0:0.643119	2	2
ERR3:::45778:0:0:0:0.701422	2	2
ERR3:::4593:0:0:0:0.675868	2	2
ERR3:::46015:0:0:0:0.698694	2	2
ERR3:::4609:0:0:0:0.720641	2	2
ERR3:::46806:0:0:0:0.679415	2	2
ERR3:::47071:0:0:0:0.610767	2	2
ERR3:::47383:0:0:0:0.760916	2	2
ERR3:::47452:0:0:0:0.701056	2	2
ERR3:::47728:0:0:0:0.607562	2	2
ERR3:::47865:0:0:0:0.601537	2	2
ERR3:::47939:0:0:0:0.725721	2	2
ERR3:::4805:0:0:0:0.613021	2	2
ERR3:::48217:0:0:0:0.738989	2	2
ERR3:::4872:0:0:0:0.658141	2	2
ERR3:::4879:0:0:0:0.643481	2	2
ERR3:::49059:0:0:0:0.623741	2	2
ERR3:::49076:0:0:0:0.708714	2	2
ERR3:::49077:0:0:0:0.635973	2	2
ERR3:::49140:0:0:0:0.710096	2	2
ERR3:::49220:0:0:0:0.715473	2	2
ERR3:::49486:0:0:0:0.669571	2	2
ERR3:::49504:0:0:0:0.713074	2	2
ERR3:::49721:0:0:0:0.725297	2	2
ERR3:::4984:0:0:0:0.641059	2	2
ERR3:::50423:0:0:0:0.669283	2	2
ERR3:::5049:0:0:0:0.603032	2	2
ERR3:::50655:0:0:0:0.719002	2	2
ERR3:::50745:0:0:0:0.699894	2	2
ERR3:::50837:0:0:0:0.642230	2	2
ERR3:::51000:0:0:0:0.646032	2	2
ERR3:::51089:0:0:0:0.661117	2	2
ERR3:::5127:0:0:0:0.615439	2	2
ERR3:::51328:0:0:0:0.605331	2	2
ERR3:::51387:0:0:0:0.721495	2	2
ERR3:::51671:0:0:0:0.683111	2	2
ERR3:::5204:0:0:0:0.675052	2	2
ERR3:::52190:0:0:0:0.686567	2	2
ERR3:::52276:0:0:0:0.668116	2	2
ERR3:::52538:0:0:0:0.661167	2	2
ERR3:::52591:0:0:0:0.689450	2	2
ERR3:::52774:0:0:0:0.604156	2	2
ERR3:::52869:0:0:0:0.668505	2	2
ERR3:::53416:0:0:0:0.715951	2	2
ERR3:::5370:0:0:0:0.628969	2	2
ERR3:::53952:0:0:0:0.695780	2	2
ERR3:::54092:0:0:0:0.667803	2	2
ERR3:::54229:0:0:0:0.710464	2	2
ERR3:::54244:0:0:0:0.706969	2	2
ERR3:::54410:0:0:0:0.677552	2	2
ERR3:::54616:0:0:0:0.706363	2	2
ERR3:::54652:0:0:0:0.723580	2	2
ERR3:::55245:0:0:0:0.631468	2	2
ERR3:::55300:0:0:0:0.686446	2	2
ERR3:::55443:0:0:0:0.650388	2	2
ERR3:::5583:0:0:0:0.663391	2	2
ERR3:::56049:0:0:0:0.712413	2	2
ERR3:::5613:0:0:0:0.712034	2	2
ERR3:::5655:0:0:0:0.616237	2	2
ERR3:::56600:0:0:0:0.653391	2	2
ERR3:::56866:0:0:0:0.604174	2	2
ERR3:::56875:0:0:0:0.703383	2	2
ERR3:::56966:0:0:0:0.713111	2	2
ERR3:::57128:0:0:0:0.694687	2	2
ERR3:::5732:0:0:0:0.634385	2	2
ERR3:::57638:0:0:0:0.678942	2	2
ERR3:::57677:0:0:0:0.692880	2	2
ERR3:::57944:0:0:0:0.636970	2	2
ERR3:::58205:0:0:0:0.715383	2	2
ERR3:::58219:0:0:0:0.653673	2	2
ERR3:::58566:0:0:0:0.718422	2	2
ERR3:::58613:0:0:0:0.712821	2	2
ERR3:::58656:0:0:0:0.615602	2	2
ERR3:::58971:0:0:0:0.635432	2	2
ERR3:::59015:0:0:0:0.610910	2	2
ERR3:::59067:0:0:0:0.613754	2	2
ERR3:::59127:0:0:0:0.713116	2	2
ERR3:::59227:0:0:0:0.605561	2	2
ERR3:::59473:0:0:0:0.665308	2	2
ERR3:::60000:0:0:0:0.657823	2	2
ERR3:::6014:0:0:0:0.709072	2	2
ERR3:::60163:0:0:0:0.674610	2	2
ERR3:::60473:0:0:0:0.699077	2	2
ERR3:::60705:0:0:0:0.721641	2	2
ERR3:::60778:0:0:0:0.601968	2	2
ERR3:::6088:0:0:0:0.703304	2	2
ERR3:::6104:0:0:0:0.698418	2	2
ERR3:::61195:0:0:0:0.713426	2	2
ERR3:::61436:0:0:0:0.707186	2	2
ERR3:::61521:0:0:0:0.740104	2	2
ERR3:::61586:0:0:0:0.691551	2	2
ERR3:::6177:0:0:0:0.609054	2	2
ERR3:::62019:0:0:0:0.623256	2	2
ERR3:::62633:0:0:0:0.689832	2	2
ERR3:::6287:0:0:0:0.619399	2	2
ERR3:::62878:0:0:0:0.655246	2	2
ERR3:::63047:0:0:0:0.711899	2	2
ERR3:::63771:0:0:0:0.647055	2	2
ERR3:::64897:0:0:0:0.661702	2	2
ERR3:::649:0:0:0:0.621994	2	2
ERR3:::64978:0:0:0:0.679558	2	2
ERR3:::65015:0:0:0:0.714886	2	2
ERR3:::65166:0:0:0:0.732538	2	2
ERR3:::65356:0:0:0:0.605647	2	2
ERR3:::65367:0:0:0:0.637404	2	2
ERR3:::65390:0:0:0:0.702576	2	2
ERR3:::65530:0:0:0:0.625785	2	2
ERR3:::65950:0:0:0:0.620488	2	2
ERR3:::66774:0:0:0:0.606047	2	2
ERR3:::66876:0:0:0:0.687325	2	2
ERR3:::67177:0:0:0:0.663304	2	2
ERR3:::67225:0:0:0:0.669348	2	2
ERR3:::673:0:0:0:0.608087	2	2
ERR3:::6852:0:0:0:0.671148	2	2
ERR3:::69117:0:0:0:0.610257	2	2
ERR3:::69130:0:0:0:0.621183	2	2
ERR3:::69409:0:0:0:0.697366	2	2
ERR3:::69420:0:0:0:0.666889	2	2
ERR3:::69547:0:0:0:0.628098	2	2
ERR3:::69963:0:0:0:0.690666	2	2
ERR3:::70340:0:0:0:0.652442	2	2
ERR3:::70496:0:0:0:0.601882	2	2
ERR3:::71181:0:0:0:0.696215	2	2
ERR3:::71301:0:0:0:0.677339	2	2
ERR3:::71323:0:0:0:0.608215	2	2
ERR3:::71389:0:0:0:0.644915	2	2
ERR3:::71417:0:0:0:0.703035	2	2
ERR3:::7148:0:0:0:0.617953	2	2
ERR3:::72009:0:0:0:0.617982	2	2
ERR3:::72016:0:0:0:0.606071	2	2
ERR3:::72175:0:0:0:0.702752	2	2
ERR3:::72523:0:0:0:0.684557	2	2
ERR3:::72714:0:0:0:0.716930	2	2
ERR3:::72988:0:0:0:0.672676	2	2
ERR3:::73300:0:0:0:0.701671	2	2
ERR3:::7334:0:0:0:0.696784	2	2
ERR3:::73395:0:0:0:0.707069	2	2
ERR3:::73552:0:0:0:0.713259	2	2
ERR3:::73586:0:0:0:0.715881	2	2
ERR3:::75235:0:0:0:0.666545	2	2
ERR3:::7572:0:0:0:0.734745	2	2
ERR3:::76331:0:0:0:0.675036	2	2
ERR3:::7657:0:0:0:0.625769	2	2
ERR3:::76703:0:0:0:0.711697	2	2
ERR3:::77207:0:0:0:0.621045	2	2
ERR3:::77215:0:0:0:0.653603	2	2
ERR3:::77223:0:0:0:0.695025	2	2
ERR3:::77519:0:0:0:0.612296	2	2
ERR3:::77673:0:0:0:0.626717	2	2
ERR3:::77945:0:0:0:0.647242	2	2
ERR3:::78160:0:0:0:0.704512	2	2
ERR3:::78280:0:0:0:0.733645	2	2
ERR3:::7846:0:0:0:0.719970	2	2
ERR3:::78465:0:0:0:0.640741	2	2
ERR3:::78503:0:0:0:0.620300	2	2
ERR3:::78725:0:0:0:0.704306	2	2
ERR3:::7914:0:0:0:0.722616	2	2
ERR3:::79524:0:0:0:0.717133	2	2
ERR3:::79607:0:0:0:0.735994	2	2
ERR3:::79711:0:0:0:0.683843	2	2
ERR3:::79965:0:0:0:0.623838	2	2
ERR3:::80042:0:0:0:0.707028	2	2
ERR3:::80853:0:0:0:0.602149	2	2
ERR3:::80868:0:0:0:0.603497	2	2
ERR3:::8101:0:0:0:0.665628	2	2
ERR3:::81091:0:0:0:0.656956	2	2
ERR3:::81678:0:0:0:0.675643	2	2
ERR3:::8231:0:0:0:0.715788	2	2
ERR3:::83049:0:0:0:0.632563	2	2
ERR3:::83162:0:0:0:0.712696	2	2
ERR3:::83296:0:0:0:0.610349	2	2
ERR3:::8356:0:0:0:0.644493	2	2
ERR3:::83596:0:0:0:0.650820	2	2
ERR3:::83716:0:0:0:0.695330	2	2
ERR3:::83761:0:0:0:0.744114	2	2
ERR3:::84102:0:0:0:0.620016	2	2
ERR3:::84195:0:0:0:0.691701	2	2
ERR3:::84261:0:0:0:0.624431	2	2
ERR3:::84534:0:0:0:0.680597	2	2
ERR3:::84650:0:0:0:0.712203	2	2
ERR3:::85418:0:0:0:0.682393	2	2
ERR3:::85463:0:0:0:0.658072	2	2
ERR3:::8594:0:0:0:0.683409	2	2
ERR3:::86645:0:0:0:0.707377	2	2
ERR3:::87015:0:0:0:0.695382	2	2
ERR3:::87041:0:0:0:0.740745	2	2
ERR3:::87504:0:0:0:0.727910	2	2
ERR3:::88419:0:0:0:0.636619	2	2
