amplicon	ERR3460470	total
ERR3460470:458400.602255	5	5
ERR3460470:469550.604311	5	5
ERR3460470:475630.601472	5	5
ERR3460470:47810.633252	5	5
ERR3460470:478180.614526	5	5
ERR3460470:479620.601026	5	5
ERR3460470:48960.646341	5	5
ERR3460470:497250.625451	5	5
ERR3460470:498840.605730	5	5
ERR3460470:503780.600865	5	5
ERR3460470:50880.625545	5	5
ERR3460470:511890.602253	5	5
ERR3460470:526660.632490	5	5
ERR3460470:544240.637592	5	5
ERR3460470:548940.615270	5	5
ERR3460470:55430.609522	5	5
ERR3460470:55810.607947	5	5
ERR3460470:56960.663377	5	5
ERR3460470:572840.615869	5	5
ERR3460470:574440.621686	5	5
ERR3460470:575120.613999	5	5
ERR3460470:598140.615296	5	5
ERR3460470:60460.603107	5	5
ERR3460470:60480.651118	5	5
ERR3460470:60820.634182	5	5
ERR3460470:62490.608715	5	5
ERR3460470:63530.644985	5	5
ERR3460470:63750.615871	5	5
ERR3460470:637620.661270	5	5
ERR3460470:63930.619297	5	5
ERR3460470:65460.662746	5	5
ERR3460470:657360.632481	5	5
ERR3460470:663860.603983	5	5
ERR3460470:666350.631762	5	5
ERR3460470:716280.631527	5	5
ERR3460470:75550.600272	5	5
ERR3460470:7640.630799	5	5
ERR3460470:775340.628914	5	5
ERR3460470:778100.691963	5	5
ERR3460470:808450.606377	5	5
ERR3460470:842500.605087	5	5
ERR3460470:85550.609351	5	5
ERR3460470:91130.610918	5	5
ERR3460470:920810.633048	5	5
ERR3460470:96290.644159	5	5
ERR3460470:9640.616626	5	5
ERR3460470:96840.625360	5	5
ERR3460470:98220.611177	5	5
ERR3460470:98420.623168	5	5
ERR3460470:99670.609608	5	5
ERR3460470:1002260.620292	4	4
ERR3460470:100280.627380	4	4
ERR3460470:100510.634677	4	4
ERR3460470:1012500.601986	4	4
ERR3460470:101910.647597	4	4
ERR3460470:102520.630474	4	4
ERR3460470:103550.634066	4	4
ERR3460470:104960.628205	4	4
ERR3460470:107200.631568	4	4
ERR3460470:108720.618394	4	4
ERR3460470:110400.610827	4	4
ERR3460470:11040.647099	4	4
ERR3460470:11310.677091	4	4
ERR3460470:114940.600380	4	4
ERR3460470:115520.615940	4	4
ERR3460470:1182740.614043	4	4
ERR3460470:119660.623974	4	4
ERR3460470:121890.655106	4	4
ERR3460470:125190.603756	4	4
ERR3460470:125740.648313	4	4
ERR3460470:126800.632264	4	4
ERR3460470:127490.649843	4	4
