OTU	ERR3460470	classification
ERR3460470:1090680.608004	4	Eukaryota;Arthropoda;Arachnida;Araneae;Linyphiidae;Neomaso;Neomaso patagonicus
ERR3460470:1116580.647039	4	Eukaryota;Chordata;Squamata;Eublepharidae;Hemitheconyx;Hemitheconyx caudicinctus
ERR3460470:1122100.604751	4	Eukaryota;Mollusca;Gastropoda;Siphonariidae;Siphonaria;Siphonaria gigas
ERR3460470:1129030.600322	4	Eukaryota;Arthropoda;Insecta;Lepidoptera;Adelidae;Adela;Adela trigrapha
ERR3460470:1160180.650242	4	Eukaryota;Chordata;Actinopteri;Osteoglossiformes;Mormyridae;Isichthys;Isichthys henryi
ERR3460470:1195070.634514	4	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Eviota;Eviota ancora
ERR3460470:1195200.605270	4	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Mathewsoconcha;Mathewsoconcha suteri
ERR3460470:1198840.638472	4	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
ERR3460470:1208300.678611	4	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
ERR3460470:1213210.614600	4	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya dubia
ERR3460470:1230410.606065	4	Eukaryota;Nematoda;Chromadorea;Rhabditida;Dictyocaulidae;Dictyocaulus;Dictyocaulus capreolus
ERR3460470:12910.608769	4	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Moerisiidae;Moerisia;Moerisia inkermanica
ERR3460470:1295200.607139	4	Eukaryota;Porifera;Demospongiae;Hadromerida;Clionaidae;Pione;Pione velans
ERR3460470:1315050.655984	4	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Euglossa;Euglossa truncata
ERR3460470:1355350.608035	4	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
ERR3460470:1455520.614093	4	Eukaryota;Arthropoda;Insecta;Coleoptera;Cerambycidae;Prionus;Prionus insularis
ERR3460470:1460590.601006	4	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotidae;Lepidodermella;Lepidodermella squamata
ERR3460470:207520.602041	4	Eukaryota;Porifera;Demospongiae;Haplosclerida;Chalinidae;Haliclona;Haliclona implexiformis
ERR3460470:231300.633430	4	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR3460470:23990.612422	4	Eukaryota;Arthropoda;Arachnida;Araneae;Theraphosidae;Aphonopelma;Aphonopelma behlei
ERR3460470:31800.608696	4	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Braunsapis;Braunsapis trochanterata
ERR3460470:347180.622555	4	Eukaryota;Nemertea;Enopla;Monostilifera;Prosorhochmidae;Prosadenoporus;Prosadenoporus spectaculum
ERR3460470:1035510.603241	3	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Ceratina;Ceratina nasalis
ERR3460470:1045040.642881	3	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupanodon;Clupanodon thrissa
ERR3460470:1114080.601922	3	Eukaryota;Platyhelminthes;Cestoda;Cyclophyllidea;Dipylidiidae;Dipylidium;Dipylidium caninum
ERR3460470:1115360.716844	3	Eukaryota;Arthropoda;Ostracoda;Myodocopida;Cypridinidae;Vargula;Vargula hilgendorfii
ERR3460470:1118400.641292	3	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
ERR3460470:1153400.606699	3	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Peloparion;Peloparion submissus
ERR3460470:1168240.608615	3	Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Apogon;Apogon atradorsatus
ERR3460470:1175400.604466	3	Eukaryota;Arthropoda;Arachnida;Araneae;Linyphiidae;Ummeliata;Ummeliata feminea
ERR3460470:1238160.625414	3	Eukaryota;Chordata;Actinopteri;Albuliformes;Albulidae;Pterothrissus;Pterothrissus gissu
ERR3460470:1239320.604256	3	Eukaryota;Nematoda;Chromadorea;Rhabditida;Rhabditidae;Caenorhabditis;Caenorhabditis tropicalis
ERR3460470:1241390.673320	3	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Dacnusa;Dacnusa nipponica
ERR3460470:1241980.640607	3	Eukaryota;Arthropoda;Insecta;Coleoptera;Endomychidae;Encymon;Encymon gorhami
