amplicon	linearized.dereplicate_ERR3460470.merged.fastq	total
ERR3460470:::16364:0:0:0:0.613081	7	7
ERR3460470:::16659:0:0:0:0.635914	7	7
ERR3460470:::1687:0:0:0:0.638010	7	7
ERR3460470:::17186:0:0:0:0.608784	7	7
ERR3460470:::17200:0:0:0:0.614991	7	7
ERR3460470:::17829:0:0:0:0.670333	7	7
ERR3460470:::19475:0:0:0:0.637127	7	7
ERR3460470:::20045:0:0:0:0.615052	7	7
ERR3460470:::20383:0:0:0:0.602575	7	7
ERR3460470:::20428:0:0:0:0.631319	7	7
ERR3460470:::20496:0:0:0:0.619643	7	7
ERR3460470:::20706:0:0:0:0.620092	7	7
ERR3460470:::21133:0:0:0:0.623156	7	7
ERR3460470:::21904:0:0:0:0.634030	7	7
ERR3460470:::22009:0:0:0:0.636557	7	7
ERR3460470:::2278:0:0:0:0.620777	7	7
ERR3460470:::2443:0:0:0:0.613308	7	7
ERR3460470:::25095:0:0:0:0.616376	7	7
ERR3460470:::2524:0:0:0:0.609920	7	7
ERR3460470:::27115:0:0:0:0.605407	7	7
ERR3460470:::28616:0:0:0:0.624843	7	7
ERR3460470:::2945:0:0:0:0.600332	7	7
ERR3460470:::29653:0:0:0:0.606161	7	7
ERR3460470:::30437:0:0:0:0.612899	7	7
ERR3460470:::3049:0:0:0:0.642211	7	7
ERR3460470:::3343:0:0:0:0.611521	7	7
ERR3460470:::370:0:0:0:0.604431	7	7
ERR3460470:::39012:0:0:0:0.628136	7	7
ERR3460470:::4:0:0:0:0.610972	7	7
ERR3460470:::40696:0:0:0:0.608976	7	7
ERR3460470:::4107:0:0:0:0.638709	7	7
ERR3460470:::4134:0:0:0:0.611481	7	7
ERR3460470:::4416:0:0:0:0.631925	7	7
ERR3460470:::4782:0:0:0:0.652836	7	7
ERR3460470:::4794:0:0:0:0.641943	7	7
ERR3460470:::50552:0:0:0:0.611525	7	7
ERR3460470:::5100:0:0:0:0.643601	7	7
ERR3460470:::54601:0:0:0:0.605196	7	7
ERR3460470:::5474:0:0:0:0.616724	7	7
ERR3460470:::5622:0:0:0:0.627788	7	7
ERR3460470:::5679:0:0:0:0.656700	7	7
ERR3460470:::5876:0:0:0:0.622044	7	7
ERR3460470:::62977:0:0:0:0.611606	7	7
ERR3460470:::65242:0:0:0:0.651473	7	7
ERR3460470:::6614:0:0:0:0.654094	7	7
ERR3460470:::792:0:0:0:0.606479	7	7
ERR3460470:::8048:0:0:0:0.621609	7	7
ERR3460470:::8225:0:0:0:0.634843	7	7
ERR3460470:::850:0:0:0:0.654043	7	7
ERR3460470:::8760:0:0:0:0.622255	7	7
ERR3460470:::8848:0:0:0:0.640016	7	7
ERR3460470:::8984:0:0:0:0.612776	7	7
ERR3460470:::9144:0:0:0:0.619755	7	7
ERR3460470:::9450:0:0:0:0.646856	7	7
ERR3460470:::9747:0:0:0:0.648255	7	7
ERR3460470:::9807:0:0:0:0.602629	7	7
ERR3460470:::10055:0:0:0:0.604097	6	6
ERR3460470:::10190:0:0:0:0.625721	6	6
ERR3460470:::10281:0:0:0:0.614848	6	6
ERR3460470:::1073:0:0:0:0.605615	6	6
ERR3460470:::10834:0:0:0:0.623955	6	6
ERR3460470:::11193:0:0:0:0.609024	6	6
ERR3460470:::11957:0:0:0:0.618297	6	6
ERR3460470:::1212:0:0:0:0.618912	6	6
ERR3460470:::12169:0:0:0:0.606163	6	6
ERR3460470:::13140:0:0:0:0.646994	6	6
ERR3460470:::13142:0:0:0:0.633074	6	6
ERR3460470:::1346:0:0:0:0.607594	6	6
ERR3460470:::14723:0:0:0:0.630273	6	6
ERR3460470:::14772:0:0:0:0.665737	6	6
ERR3460470:::14867:0:0:0:0.613886	6	6
ERR3460470:::1663:0:0:0:0.646766	6	6
ERR3460470:::16699:0:0:0:0.615898	6	6
ERR3460470:::1797:0:0:0:0.603147	6	6
ERR3460470:::18098:0:0:0:0.627316	6	6
ERR3460470:::18629:0:0:0:0.603349	6	6
ERR3460470:::18651:0:0:0:0.643312	6	6
ERR3460470:::18699:0:0:0:0.610096	6	6
ERR3460470:::19488:0:0:0:0.651520	6	6
ERR3460470:::20068:0:0:0:0.614155	6	6
ERR3460470:::20395:0:0:0:0.624133	6	6
ERR3460470:::20684:0:0:0:0.605343	6	6
ERR3460470:::20773:0:0:0:0.633992	6	6
ERR3460470:::21083:0:0:0:0.638642	6	6
ERR3460470:::21380:0:0:0:0.640256	6	6
ERR3460470:::22016:0:0:0:0.618690	6	6
ERR3460470:::2213:0:0:0:0.627939	6	6
ERR3460470:::22149:0:0:0:0.621220	6	6
ERR3460470:::22165:0:0:0:0.633424	6	6
ERR3460470:::22180:0:0:0:0.632001	6	6
ERR3460470:::22184:0:0:0:0.603970	6	6
ERR3460470:::22271:0:0:0:0.617417	6	6
ERR3460470:::22314:0:0:0:0.646388	6	6
ERR3460470:::22624:0:0:0:0.605399	6	6
ERR3460470:::22713:0:0:0:0.643121	6	6
ERR3460470:::23251:0:0:0:0.600176	6	6
ERR3460470:::2330:0:0:0:0.601138	6	6
ERR3460470:::2389:0:0:0:0.627294	6	6
ERR3460470:::24296:0:0:0:0.646002	6	6
ERR3460470:::24833:0:0:0:0.631001	6	6
ERR3460470:::25252:0:0:0:0.617026	6	6
