amplicon	SRR1808872	total
SRR11808872:4016820.624300	4	4
SRR11808872:4041870.622966	4	4
SRR11808872:4079430.601601	4	4
SRR11808872:4176530.633407	4	4
SRR11808872:42280.600834	4	4
SRR11808872:4234840.613495	4	4
SRR11808872:4250430.632868	4	4
SRR11808872:43200.615990	4	4
SRR11808872:4362090.619073	4	4
SRR11808872:4397900.618183	4	4
SRR11808872:4440490.630227	4	4
SRR11808872:4447130.604390	4	4
SRR11808872:4455680.616063	4	4
SRR11808872:4499780.602601	4	4
SRR11808872:4502270.600908	4	4
SRR11808872:4518030.626974	4	4
SRR11808872:4518560.632869	4	4
SRR11808872:4609220.600413	4	4
SRR11808872:4622320.616640	4	4
SRR11808872:465640.601891	4	4
SRR11808872:477700.618794	4	4
SRR11808872:4807080.608457	4	4
SRR11808872:4964430.603604	4	4
SRR11808872:5011020.613855	4	4
SRR11808872:5086470.606763	4	4
SRR11808872:516040.608631	4	4
SRR11808872:535450.604323	4	4
SRR11808872:54390.624865	4	4
SRR11808872:54820.649051	4	4
SRR11808872:585240.608331	4	4
SRR11808872:591050.613935	4	4
SRR11808872:595070.619026	4	4
SRR11808872:632950.618263	4	4
SRR11808872:645120.600822	4	4
SRR11808872:65960.618708	4	4
SRR11808872:70450.605316	4	4
SRR11808872:718840.611440	4	4
SRR11808872:750120.636214	4	4
SRR11808872:756940.607863	4	4
SRR11808872:758640.600335	4	4
SRR11808872:783980.614536	4	4
SRR11808872:791390.621702	4	4
SRR11808872:791560.609039	4	4
SRR11808872:792120.611525	4	4
SRR11808872:792730.623688	4	4
SRR11808872:796320.620611	4	4
SRR11808872:804740.611232	4	4
SRR11808872:808040.615148	4	4
SRR11808872:809300.619728	4	4
SRR11808872:812930.603252	4	4
SRR11808872:854480.600568	4	4
SRR11808872:867850.606286	4	4
SRR11808872:86840.609324	4	4
SRR11808872:870750.629810	4	4
SRR11808872:873990.627922	4	4
SRR11808872:875800.617741	4	4
SRR11808872:903530.608524	4	4
SRR11808872:961140.603359	4	4
SRR11808872:97270.604185	4	4
SRR11808872:984570.628235	4	4
SRR11808872:987070.639412	4	4
SRR11808872:1003860.600327	3	3
SRR11808872:1005180.625353	3	3
SRR11808872:1007570.632171	3	3
SRR11808872:1017530.626609	3	3
SRR11808872:1023230.616021	3	3
SRR11808872:102520.641652	3	3
SRR11808872:103010.614642	3	3
SRR11808872:1042430.601381	3	3
SRR11808872:1048230.613322	3	3
SRR11808872:1049220.602690	3	3
SRR11808872:1087000.619164	3	3
SRR11808872:1101910.634317	3	3
SRR11808872:1116610.600201	3	3
SRR11808872:1125250.600430	3	3
SRR11808872:113030.636273	3	3
SRR11808872:1130470.614162	3	3
SRR11808872:1141060.637596	3	3
SRR11808872:1153320.644079	3	3
SRR11808872:1155300.620590	3	3
SRR11808872:1157130.601985	3	3
SRR11808872:1168820.606497	3	3
SRR11808872:1169860.633070	3	3
SRR11808872:1181290.619746	3	3
SRR11808872:1187620.611465	3	3
SRR11808872:1188790.610125	3	3
SRR11808872:1201350.636381	3	3
SRR11808872:1214110.622264	3	3
SRR11808872:121610.601831	3	3
SRR11808872:1224330.614937	3	3
SRR11808872:1236310.610895	3	3
SRR11808872:1254830.608307	3	3
SRR11808872:126280.615556	3	3
SRR11808872:1277110.617326	3	3
SRR11808872:1283050.616555	3	3
SRR11808872:128810.625450	3	3
SRR11808872:1290850.623040	3	3
SRR11808872:1292860.611165	3	3
SRR11808872:1293610.615116	3	3
SRR11808872:1298610.601093	3	3
SRR11808872:1298720.620699	3	3
SRR11808872:130160.627986	3	3
SRR11808872:130430.642270	3	3
SRR11808872:1310690.636440	3	3
SRR11808872:1324660.605148	3	3
SRR11808872:133000.643707	3	3
SRR11808872:1331260.608245	3	3
SRR11808872:1331410.635718	3	3
SRR11808872:1332690.615810	3	3
SRR11808872:1333140.646003	3	3
SRR11808872:1333710.610471	3	3
SRR11808872:1334520.615287	3	3
SRR11808872:1334740.602635	3	3
SRR11808872:133550.614205	3	3
SRR11808872:1336720.600757	3	3
SRR11808872:1338760.618518	3	3
SRR11808872:1339310.612536	3	3
SRR11808872:1350370.618958	3	3
SRR11808872:1352310.604662	3	3
SRR11808872:1359020.605609	3	3
SRR11808872:1364000.619790	3	3
SRR11808872:1367820.610472	3	3
SRR11808872:1370120.621983	3	3
SRR11808872:1375270.626621	3	3
SRR11808872:1377920.628191	3	3
SRR11808872:1384370.615729	3	3
SRR11808872:1385270.622897	3	3
SRR11808872:1386380.603713	3	3
SRR11808872:1388240.610496	3	3
SRR11808872:1388550.614002	3	3
SRR11808872:1395820.611662	3	3
SRR11808872:1398360.629315	3	3
SRR11808872:1400210.620895	3	3
SRR11808872:1403070.615803	3	3
SRR11808872:1426090.608560	3	3
SRR11808872:1434530.624196	3	3
SRR11808872:1436440.625743	3	3
SRR11808872:1442090.634238	3	3
SRR11808872:1451630.607494	3	3
SRR11808872:1452880.603635	3	3
SRR11808872:1464770.616280	3	3
SRR11808872:1464900.601160	3	3
SRR11808872:1466980.601706	3	3
SRR11808872:1467570.621733	3	3
SRR11808872:1467920.600104	3	3
SRR11808872:1470020.633464	3	3
SRR11808872:1473100.602098	3	3
SRR11808872:1476430.632023	3	3
SRR11808872:148380.626842	3	3
SRR11808872:1486730.608643	3	3
SRR11808872:1490010.615413	3	3
SRR11808872:1491270.601813	3	3
SRR11808872:151460.600505	3	3
SRR11808872:1518560.635452	3	3
SRR11808872:1521900.622868	3	3
SRR11808872:1523650.614153	3	3
SRR11808872:1536760.641586	3	3
SRR11808872:1544870.601794	3	3
SRR11808872:1553150.601646	3	3
SRR11808872:1560460.613351	3	3
SRR11808872:156750.611286	3	3
SRR11808872:1569470.620634	3	3
SRR11808872:1574220.628388	3	3
SRR11808872:1575200.602058	3	3
SRR11808872:1588680.602823	3	3
SRR11808872:1597310.607735	3	3
SRR11808872:1597940.639714	3	3
SRR11808872:1598780.618793	3	3
SRR11808872:1601760.609483	3	3
SRR11808872:1608050.622806	3	3
SRR11808872:1608750.606845	3	3
SRR11808872:1609320.606474	3	3
SRR11808872:1618790.602601	3	3
SRR11808872:1625560.607508	3	3
SRR11808872:1637610.601777	3	3
SRR11808872:1642720.602640	3	3
SRR11808872:1643860.611347	3	3
SRR11808872:1644100.626815	3	3
SRR11808872:1645640.627044	3	3
SRR11808872:1645730.616811	3	3
SRR11808872:164770.601608	3	3
SRR11808872:1648630.628291	3	3
SRR11808872:1649570.603286	3	3
SRR11808872:1651470.615524	3	3
SRR11808872:1653380.600751	3	3
SRR11808872:1658850.619854	3	3
SRR11808872:1660160.607192	3	3
SRR11808872:1665060.638380	3	3
SRR11808872:1672930.627379	3	3
SRR11808872:1673670.602709	3	3
SRR11808872:1676770.616386	3	3
SRR11808872:1689150.627345	3	3
SRR11808872:1690460.606930	3	3
