amplicon	linearized.dereplicate_SRR1808872.merged.fastq	total
SRR11808872:::146662:0:0:0:0.619397	4	4
SRR11808872:::146831:0:0:0:0.605504	4	4
SRR11808872:::147934:0:0:0:0.605213	4	4
SRR11808872:::149474:0:0:0:0.633051	4	4
SRR11808872:::150634:0:0:0:0.626505	4	4
SRR11808872:::151006:0:0:0:0.616400	4	4
SRR11808872:::155810:0:0:0:0.622601	4	4
SRR11808872:::155927:0:0:0:0.622098	4	4
SRR11808872:::15703:0:0:0:0.623695	4	4
SRR11808872:::159358:0:0:0:0.600455	4	4
SRR11808872:::160244:0:0:0:0.606905	4	4
SRR11808872:::160977:0:0:0:0.603981	4	4
SRR11808872:::164334:0:0:0:0.604183	4	4
SRR11808872:::165108:0:0:0:0.613162	4	4
SRR11808872:::165232:0:0:0:0.601505	4	4
SRR11808872:::165349:0:0:0:0.607488	4	4
SRR11808872:::166001:0:0:0:0.601063	4	4
SRR11808872:::168304:0:0:0:0.611178	4	4
SRR11808872:::168949:0:0:0:0.618401	4	4
SRR11808872:::169106:0:0:0:0.620683	4	4
SRR11808872:::169522:0:0:0:0.604653	4	4
SRR11808872:::171408:0:0:0:0.610119	4	4
SRR11808872:::172211:0:0:0:0.601525	4	4
SRR11808872:::172283:0:0:0:0.632824	4	4
SRR11808872:::173631:0:0:0:0.604482	4	4
SRR11808872:::174097:0:0:0:0.622082	4	4
SRR11808872:::176516:0:0:0:0.637853	4	4
SRR11808872:::179277:0:0:0:0.620996	4	4
SRR11808872:::181626:0:0:0:0.607360	4	4
SRR11808872:::186418:0:0:0:0.602557	4	4
SRR11808872:::200373:0:0:0:0.618047	4	4
SRR11808872:::202476:0:0:0:0.615502	4	4
SRR11808872:::205151:0:0:0:0.646814	4	4
SRR11808872:::206831:0:0:0:0.611735	4	4
SRR11808872:::209091:0:0:0:0.622499	4	4
SRR11808872:::210276:0:0:0:0.642240	4	4
SRR11808872:::211682:0:0:0:0.639536	4	4
SRR11808872:::211797:0:0:0:0.609461	4	4
SRR11808872:::213349:0:0:0:0.609567	4	4
SRR11808872:::219401:0:0:0:0.643706	4	4
SRR11808872:::219579:0:0:0:0.629895	4	4
SRR11808872:::220818:0:0:0:0.632659	4	4
SRR11808872:::220940:0:0:0:0.622263	4	4
SRR11808872:::223545:0:0:0:0.618821	4	4
SRR11808872:::226009:0:0:0:0.610922	4	4
SRR11808872:::227946:0:0:0:0.612913	4	4
SRR11808872:::228691:0:0:0:0.634830	4	4
SRR11808872:::228778:0:0:0:0.616774	4	4
SRR11808872:::230646:0:0:0:0.604227	4	4
SRR11808872:::230684:0:0:0:0.618671	4	4
SRR11808872:::233738:0:0:0:0.610122	4	4
SRR11808872:::234109:0:0:0:0.643691	4	4
SRR11808872:::239989:0:0:0:0.621621	4	4
SRR11808872:::240929:0:0:0:0.624834	4	4
SRR11808872:::243561:0:0:0:0.614073	4	4
SRR11808872:::246169:0:0:0:0.600851	4	4
SRR11808872:::247163:0:0:0:0.614113	4	4
SRR11808872:::247510:0:0:0:0.605819	4	4
SRR11808872:::248419:0:0:0:0.613526	4	4
SRR11808872:::249299:0:0:0:0.603889	4	4
SRR11808872:::252146:0:0:0:0.626043	4	4
SRR11808872:::255488:0:0:0:0.629787	4	4
SRR11808872:::25587:0:0:0:0.632881	4	4
SRR11808872:::256270:0:0:0:0.606984	4	4
SRR11808872:::259166:0:0:0:0.619443	4	4
SRR11808872:::261624:0:0:0:0.611186	4	4
SRR11808872:::262716:0:0:0:0.607895	4	4
SRR11808872:::264063:0:0:0:0.648349	4	4
SRR11808872:::265637:0:0:0:0.605481	4	4
SRR11808872:::267477:0:0:0:0.631252	4	4
SRR11808872:::267774:0:0:0:0.614380	4	4
SRR11808872:::270260:0:0:0:0.626003	4	4
SRR11808872:::273526:0:0:0:0.625293	4	4
SRR11808872:::276923:0:0:0:0.622222	4	4
SRR11808872:::282305:0:0:0:0.610682	4	4
SRR11808872:::282403:0:0:0:0.601065	4	4
SRR11808872:::283321:0:0:0:0.631418	4	4
SRR11808872:::284000:0:0:0:0.634284	4	4
SRR11808872:::286180:0:0:0:0.600142	4	4
SRR11808872:::288102:0:0:0:0.602240	4	4
SRR11808872:::290568:0:0:0:0.605149	4	4
SRR11808872:::299776:0:0:0:0.621253	4	4
SRR11808872:::310864:0:0:0:0.600859	4	4
SRR11808872:::315068:0:0:0:0.616356	4	4
SRR11808872:::315092:0:0:0:0.618747	4	4
SRR11808872:::317226:0:0:0:0.608486	4	4
SRR11808872:::322094:0:0:0:0.607109	4	4
SRR11808872:::328919:0:0:0:0.626662	4	4
SRR11808872:::329082:0:0:0:0.628091	4	4
SRR11808872:::330717:0:0:0:0.603385	4	4
SRR11808872:::330863:0:0:0:0.607485	4	4
SRR11808872:::334176:0:0:0:0.632105	4	4
SRR11808872:::334983:0:0:0:0.605071	4	4
SRR11808872:::335863:0:0:0:0.627421	4	4
SRR11808872:::336488:0:0:0:0.636666	4	4
SRR11808872:::337733:0:0:0:0.623193	4	4
SRR11808872:::338222:0:0:0:0.614659	4	4
SRR11808872:::341991:0:0:0:0.614122	4	4
SRR11808872:::343055:0:0:0:0.601765	4	4
SRR11808872:::346653:0:0:0:0.607506	4	4
SRR11808872:::348182:0:0:0:0.606316	4	4
SRR11808872:::348341:0:0:0:0.624429	4	4
SRR11808872:::349049:0:0:0:0.610537	4	4
SRR11808872:::355843:0:0:0:0.604879	4	4
SRR11808872:::357983:0:0:0:0.608059	4	4
SRR11808872:::360306:0:0:0:0.611374	4	4
SRR11808872:::3609:0:0:0:0.632278	4	4
SRR11808872:::362996:0:0:0:0.613328	4	4
SRR11808872:::366437:0:0:0:0.609662	4	4
SRR11808872:::366692:0:0:0:0.611891	4	4
SRR11808872:::368598:0:0:0:0.600913	4	4
SRR11808872:::370672:0:0:0:0.616390	4	4
SRR11808872:::371594:0:0:0:0.628321	4	4
SRR11808872:::373660:0:0:0:0.626757	4	4
SRR11808872:::374140:0:0:0:0.611111	4	4
SRR11808872:::376923:0:0:0:0.609268	4	4
SRR11808872:::377374:0:0:0:0.606311	4	4
SRR11808872:::381115:0:0:0:0.625760	4	4
SRR11808872:::382857:0:0:0:0.604716	4	4
SRR11808872:::384732:0:0:0:0.619725	4	4
SRR11808872:::385191:0:0:0:0.604329	4	4
SRR11808872:::391551:0:0:0:0.609834	4	4
SRR11808872:::394873:0:0:0:0.626313	4	4
SRR11808872:::396705:0:0:0:0.600429	4	4
SRR11808872:::398296:0:0:0:0.611525	4	4
SRR11808872:::400906:0:0:0:0.634512	4	4
SRR11808872:::401682:0:0:0:0.624300	4	4
SRR11808872:::404187:0:0:0:0.622966	4	4
SRR11808872:::407943:0:0:0:0.601601	4	4
SRR11808872:::417653:0:0:0:0.633407	4	4
SRR11808872:::4228:0:0:0:0.600834	4	4
SRR11808872:::423484:0:0:0:0.613495	4	4
SRR11808872:::425043:0:0:0:0.632868	4	4
SRR11808872:::4320:0:0:0:0.615990	4	4
SRR11808872:::436209:0:0:0:0.619073	4	4
SRR11808872:::439790:0:0:0:0.618183	4	4
SRR11808872:::444049:0:0:0:0.630227	4	4
SRR11808872:::444713:0:0:0:0.604390	4	4
SRR11808872:::445568:0:0:0:0.616063	4	4
SRR11808872:::449978:0:0:0:0.602601	4	4
SRR11808872:::450227:0:0:0:0.600908	4	4
SRR11808872:::451803:0:0:0:0.626974	4	4
SRR11808872:::451856:0:0:0:0.632869	4	4
SRR11808872:::460922:0:0:0:0.600413	4	4
SRR11808872:::462232:0:0:0:0.616640	4	4
SRR11808872:::46564:0:0:0:0.601891	4	4
SRR11808872:::47770:0:0:0:0.618794	4	4
SRR11808872:::480708:0:0:0:0.608457	4	4
SRR11808872:::496443:0:0:0:0.603604	4	4
SRR11808872:::501102:0:0:0:0.613855	4	4
SRR11808872:::508647:0:0:0:0.606763	4	4
SRR11808872:::51604:0:0:0:0.608631	4	4
SRR11808872:::53545:0:0:0:0.604323	4	4
SRR11808872:::5439:0:0:0:0.624865	4	4
SRR11808872:::5482:0:0:0:0.649051	4	4
SRR11808872:::58524:0:0:0:0.608331	4	4
SRR11808872:::59105:0:0:0:0.613935	4	4
SRR11808872:::59507:0:0:0:0.619026	4	4
SRR11808872:::63295:0:0:0:0.618263	4	4
SRR11808872:::64512:0:0:0:0.600822	4	4
SRR11808872:::6596:0:0:0:0.618708	4	4
SRR11808872:::7045:0:0:0:0.605316	4	4
SRR11808872:::71884:0:0:0:0.611440	4	4
SRR11808872:::75012:0:0:0:0.636214	4	4
SRR11808872:::75694:0:0:0:0.607863	4	4
SRR11808872:::75864:0:0:0:0.600335	4	4
SRR11808872:::78398:0:0:0:0.614536	4	4
