amplicon	linearized.dereplicate_ERR1308201.merged.fastq	total
ERR1308201:::21742:0:0:0:0.624306	3	3
ERR1308201:::225744:0:0:0:0.614729	3	3
ERR1308201:::226469:0:0:0:0.649347	3	3
ERR1308201:::2271:0:0:0:0.609169	3	3
ERR1308201:::227483:0:0:0:0.619329	3	3
ERR1308201:::227595:0:0:0:0.630642	3	3
ERR1308201:::229679:0:0:0:0.628155	3	3
ERR1308201:::236145:0:0:0:0.611612	3	3
ERR1308201:::24171:0:0:0:0.605775	3	3
ERR1308201:::24198:0:0:0:0.605627	3	3
ERR1308201:::24788:0:0:0:0.623991	3	3
ERR1308201:::250000:0:0:0:0.615702	3	3
ERR1308201:::252061:0:0:0:0.628531	3	3
ERR1308201:::252081:0:0:0:0.610316	3	3
ERR1308201:::25297:0:0:0:0.601555	3	3
ERR1308201:::25478:0:0:0:0.617348	3	3
ERR1308201:::25635:0:0:0:0.609159	3	3
ERR1308201:::25782:0:0:0:0.608187	3	3
ERR1308201:::25837:0:0:0:0.613453	3	3
ERR1308201:::26296:0:0:0:0.609026	3	3
ERR1308201:::27195:0:0:0:0.619707	3	3
ERR1308201:::27525:0:0:0:0.603690	3	3
ERR1308201:::27625:0:0:0:0.602785	3	3
ERR1308201:::27626:0:0:0:0.600851	3	3
ERR1308201:::27808:0:0:0:0.618718	3	3
ERR1308201:::27939:0:0:0:0.624895	3	3
ERR1308201:::28001:0:0:0:0.600084	3	3
ERR1308201:::28976:0:0:0:0.611358	3	3
ERR1308201:::29248:0:0:0:0.600355	3	3
ERR1308201:::29293:0:0:0:0.602209	3	3
ERR1308201:::29466:0:0:0:0.618152	3	3
ERR1308201:::29650:0:0:0:0.622284	3	3
ERR1308201:::32236:0:0:0:0.602146	3	3
ERR1308201:::32255:0:0:0:0.611501	3	3
ERR1308201:::3250:0:0:0:0.604236	3	3
ERR1308201:::32813:0:0:0:0.617159	3	3
ERR1308201:::33216:0:0:0:0.605623	3	3
ERR1308201:::33300:0:0:0:0.612516	3	3
ERR1308201:::33328:0:0:0:0.623064	3	3
ERR1308201:::3362:0:0:0:0.603490	3	3
ERR1308201:::33674:0:0:0:0.608221	3	3
ERR1308201:::3373:0:0:0:0.607962	3	3
ERR1308201:::33765:0:0:0:0.603652	3	3
ERR1308201:::33875:0:0:0:0.622961	3	3
ERR1308201:::33978:0:0:0:0.629695	3	3
ERR1308201:::34320:0:0:0:0.613197	3	3
ERR1308201:::34546:0:0:0:0.626214	3	3
ERR1308201:::34765:0:0:0:0.622198	3	3
ERR1308201:::34883:0:0:0:0.612338	3	3
ERR1308201:::34924:0:0:0:0.615037	3	3
ERR1308201:::35022:0:0:0:0.611255	3	3
ERR1308201:::35060:0:0:0:0.601750	3	3
ERR1308201:::35333:0:0:0:0.622950	3	3
ERR1308201:::35355:0:0:0:0.603702	3	3
ERR1308201:::35523:0:0:0:0.629245	3	3
ERR1308201:::35660:0:0:0:0.630457	3	3
ERR1308201:::36101:0:0:0:0.600546	3	3
ERR1308201:::36433:0:0:0:0.608543	3	3
ERR1308201:::3655:0:0:0:0.604449	3	3
ERR1308201:::36583:0:0:0:0.603784	3	3
ERR1308201:::36784:0:0:0:0.630833	3	3
ERR1308201:::36848:0:0:0:0.614663	3	3
ERR1308201:::38426:0:0:0:0.617933	3	3
ERR1308201:::39244:0:0:0:0.634265	3	3
ERR1308201:::39300:0:0:0:0.611412	3	3
ERR1308201:::39325:0:0:0:0.614501	3	3
ERR1308201:::39631:0:0:0:0.615846	3	3
ERR1308201:::39749:0:0:0:0.643509	3	3
ERR1308201:::39919:0:0:0:0.606985	3	3
ERR1308201:::40109:0:0:0:0.603706	3	3
ERR1308201:::40185:0:0:0:0.607919	3	3
ERR1308201:::40346:0:0:0:0.612026	3	3
ERR1308201:::40442:0:0:0:0.620404	3	3
ERR1308201:::40992:0:0:0:0.622594	3	3
ERR1308201:::41192:0:0:0:0.616096	3	3
ERR1308201:::41196:0:0:0:0.620992	3	3
ERR1308201:::41544:0:0:0:0.602391	3	3
ERR1308201:::41665:0:0:0:0.602132	3	3
ERR1308201:::41691:0:0:0:0.612042	3	3
ERR1308201:::41736:0:0:0:0.617589	3	3
ERR1308201:::41897:0:0:0:0.607880	3	3
ERR1308201:::41947:0:0:0:0.612284	3	3
ERR1308201:::41955:0:0:0:0.620623	3	3
ERR1308201:::42533:0:0:0:0.604382	3	3
ERR1308201:::42547:0:0:0:0.607000	3	3
ERR1308201:::42665:0:0:0:0.609857	3	3
ERR1308201:::43249:0:0:0:0.611745	3	3
ERR1308201:::43258:0:0:0:0.610223	3	3
ERR1308201:::43388:0:0:0:0.621923	3	3
ERR1308201:::43579:0:0:0:0.639886	3	3
ERR1308201:::43626:0:0:0:0.615376	3	3
ERR1308201:::43731:0:0:0:0.615056	3	3
ERR1308201:::43924:0:0:0:0.604744	3	3
ERR1308201:::4493:0:0:0:0.609174	3	3
ERR1308201:::44982:0:0:0:0.614934	3	3
ERR1308201:::4540:0:0:0:0.605711	3	3
ERR1308201:::46667:0:0:0:0.619174	3	3
ERR1308201:::47334:0:0:0:0.604106	3	3
ERR1308201:::47395:0:0:0:0.624014	3	3
ERR1308201:::47809:0:0:0:0.602676	3	3
ERR1308201:::47889:0:0:0:0.639564	3	3
ERR1308201:::48550:0:0:0:0.601986	3	3
ERR1308201:::48714:0:0:0:0.613264	3	3
ERR1308201:::49122:0:0:0:0.624381	3	3
ERR1308201:::49421:0:0:0:0.601488	3	3
ERR1308201:::49909:0:0:0:0.609470	3	3
ERR1308201:::50156:0:0:0:0.613289	3	3
ERR1308201:::50208:0:0:0:0.612058	3	3
ERR1308201:::50415:0:0:0:0.601779	3	3
ERR1308201:::50533:0:0:0:0.618861	3	3
ERR1308201:::51092:0:0:0:0.606101	3	3
ERR1308201:::51201:0:0:0:0.603401	3	3
ERR1308201:::51812:0:0:0:0.613662	3	3
ERR1308201:::52319:0:0:0:0.600619	3	3
ERR1308201:::52467:0:0:0:0.627767	3	3
ERR1308201:::52533:0:0:0:0.612053	3	3
ERR1308201:::52720:0:0:0:0.644313	3	3
ERR1308201:::53611:0:0:0:0.602269	3	3
ERR1308201:::54548:0:0:0:0.601816	3	3
ERR1308201:::55147:0:0:0:0.620442	3	3
ERR1308201:::55161:0:0:0:0.606888	3	3
ERR1308201:::55828:0:0:0:0.614252	3	3
ERR1308201:::55976:0:0:0:0.628703	3	3
ERR1308201:::55989:0:0:0:0.610602	3	3
ERR1308201:::56125:0:0:0:0.612433	3	3
ERR1308201:::56784:0:0:0:0.612350	3	3
ERR1308201:::56800:0:0:0:0.603362	3	3
ERR1308201:::58064:0:0:0:0.620821	3	3
ERR1308201:::58117:0:0:0:0.624964	3	3
ERR1308201:::58153:0:0:0:0.600405	3	3
ERR1308201:::58374:0:0:0:0.606876	3	3
ERR1308201:::58557:0:0:0:0.601106	3	3
ERR1308201:::5898:0:0:0:0.604416	3	3
ERR1308201:::6099:0:0:0:0.611297	3	3
ERR1308201:::61470:0:0:0:0.602932	3	3
ERR1308201:::62112:0:0:0:0.607105	3	3
ERR1308201:::62484:0:0:0:0.618133	3	3
ERR1308201:::62506:0:0:0:0.612480	3	3
ERR1308201:::62630:0:0:0:0.612660	3	3
ERR1308201:::62833:0:0:0:0.605767	3	3
ERR1308201:::62977:0:0:0:0.601878	3	3
ERR1308201:::63193:0:0:0:0.601866	3	3
ERR1308201:::63289:0:0:0:0.627677	3	3
ERR1308201:::63916:0:0:0:0.608534	3	3
ERR1308201:::63969:0:0:0:0.605410	3	3
ERR1308201:::64134:0:0:0:0.603789	3	3
ERR1308201:::64233:0:0:0:0.611974	3	3
ERR1308201:::6447:0:0:0:0.628594	3	3
ERR1308201:::65482:0:0:0:0.634777	3	3
ERR1308201:::65661:0:0:0:0.603432	3	3
ERR1308201:::66040:0:0:0:0.634502	3	3
ERR1308201:::66325:0:0:0:0.610222	3	3
ERR1308201:::66660:0:0:0:0.606882	3	3
ERR1308201:::67191:0:0:0:0.629869	3	3
ERR1308201:::67439:0:0:0:0.606227	3	3
ERR1308201:::67626:0:0:0:0.613682	3	3
ERR1308201:::69582:0:0:0:0.603898	3	3
ERR1308201:::70954:0:0:0:0.605059	3	3
ERR1308201:::71435:0:0:0:0.600680	3	3
ERR1308201:::71565:0:0:0:0.608310	3	3
ERR1308201:::72356:0:0:0:0.623534	3	3
ERR1308201:::73366:0:0:0:0.600254	3	3
ERR1308201:::74061:0:0:0:0.602549	3	3
ERR1308201:::74135:0:0:0:0.615245	3	3
ERR1308201:::76105:0:0:0:0.636714	3	3
ERR1308201:::76760:0:0:0:0.604921	3	3
ERR1308201:::77072:0:0:0:0.620447	3	3
ERR1308201:::78479:0:0:0:0.622025	3	3
ERR1308201:::79014:0:0:0:0.615349	3	3
ERR1308201:::79058:0:0:0:0.603722	3	3
ERR1308201:::79186:0:0:0:0.606503	3	3
ERR1308201:::79260:0:0:0:0.605056	3	3
ERR1308201:::79733:0:0:0:0.630315	3	3
ERR1308201:::80167:0:0:0:0.631841	3	3
ERR1308201:::80210:0:0:0:0.623134	3	3
ERR1308201:::80258:0:0:0:0.638538	3	3
ERR1308201:::80315:0:0:0:0.608234	3	3
ERR1308201:::80372:0:0:0:0.636412	3	3
ERR1308201:::81102:0:0:0:0.606357	3	3
ERR1308201:::81658:0:0:0:0.620594	3	3
ERR1308201:::81705:0:0:0:0.601728	3	3
ERR1308201:::81864:0:0:0:0.621828	3	3
ERR1308201:::82145:0:0:0:0.631566	3	3
ERR1308201:::82663:0:0:0:0.608710	3	3
ERR1308201:::8419:0:0:0:0.619352	3	3
ERR1308201:::84971:0:0:0:0.628660	3	3
ERR1308201:::85265:0:0:0:0.605069	3	3
ERR1308201:::86067:0:0:0:0.629819	3	3
ERR1308201:::86316:0:0:0:0.608652	3	3
ERR1308201:::86599:0:0:0:0.612645	3	3
ERR1308201:::87327:0:0:0:0.600945	3	3
ERR1308201:::8737:0:0:0:0.607014	3	3
ERR1308201:::8879:0:0:0:0.608024	3	3
ERR1308201:::88855:0:0:0:0.609105	3	3
ERR1308201:::89913:0:0:0:0.617045	3	3
ERR1308201:::89964:0:0:0:0.603429	3	3
ERR1308201:::91932:0:0:0:0.607076	3	3
ERR1308201:::92710:0:0:0:0.621305	3	3
ERR1308201:::92990:0:0:0:0.609238	3	3
ERR1308201:::94582:0:0:0:0.604305	3	3
ERR1308201:::95560:0:0:0:0.628129	3	3
