amplicon	ERR1308201	total
ERR1308201:478090.602676	3	3
ERR1308201:478890.639564	3	3
ERR1308201:485500.601986	3	3
ERR1308201:487140.613264	3	3
ERR1308201:491220.624381	3	3
ERR1308201:494210.601488	3	3
ERR1308201:499090.609470	3	3
ERR1308201:501560.613289	3	3
ERR1308201:502080.612058	3	3
ERR1308201:504150.601779	3	3
ERR1308201:505330.618861	3	3
ERR1308201:510920.606101	3	3
ERR1308201:512010.603401	3	3
ERR1308201:518120.613662	3	3
ERR1308201:523190.600619	3	3
ERR1308201:524670.627767	3	3
ERR1308201:525330.612053	3	3
ERR1308201:527200.644313	3	3
ERR1308201:536110.602269	3	3
ERR1308201:545480.601816	3	3
ERR1308201:551470.620442	3	3
ERR1308201:551610.606888	3	3
ERR1308201:558280.614252	3	3
ERR1308201:559760.628703	3	3
ERR1308201:559890.610602	3	3
ERR1308201:561250.612433	3	3
ERR1308201:567840.612350	3	3
ERR1308201:568000.603362	3	3
ERR1308201:580640.620821	3	3
ERR1308201:581170.624964	3	3
ERR1308201:581530.600405	3	3
ERR1308201:583740.606876	3	3
ERR1308201:585570.601106	3	3
ERR1308201:58980.604416	3	3
ERR1308201:60990.611297	3	3
ERR1308201:614700.602932	3	3
ERR1308201:621120.607105	3	3
ERR1308201:624840.618133	3	3
ERR1308201:625060.612480	3	3
ERR1308201:626300.612660	3	3
ERR1308201:628330.605767	3	3
ERR1308201:629770.601878	3	3
ERR1308201:631930.601866	3	3
ERR1308201:632890.627677	3	3
ERR1308201:639160.608534	3	3
ERR1308201:639690.605410	3	3
ERR1308201:641340.603789	3	3
ERR1308201:642330.611974	3	3
ERR1308201:64470.628594	3	3
ERR1308201:654820.634777	3	3
ERR1308201:656610.603432	3	3
ERR1308201:660400.634502	3	3
ERR1308201:663250.610222	3	3
ERR1308201:666600.606882	3	3
ERR1308201:671910.629869	3	3
ERR1308201:674390.606227	3	3
ERR1308201:676260.613682	3	3
ERR1308201:695820.603898	3	3
ERR1308201:709540.605059	3	3
ERR1308201:714350.600680	3	3
ERR1308201:715650.608310	3	3
ERR1308201:723560.623534	3	3
ERR1308201:733660.600254	3	3
ERR1308201:740610.602549	3	3
ERR1308201:741350.615245	3	3
ERR1308201:761050.636714	3	3
ERR1308201:767600.604921	3	3
ERR1308201:770720.620447	3	3
ERR1308201:784790.622025	3	3
ERR1308201:790140.615349	3	3
ERR1308201:790580.603722	3	3
ERR1308201:791860.606503	3	3
ERR1308201:792600.605056	3	3
ERR1308201:797330.630315	3	3
ERR1308201:801670.631841	3	3
ERR1308201:802100.623134	3	3
ERR1308201:802580.638538	3	3
ERR1308201:803150.608234	3	3
ERR1308201:803720.636412	3	3
ERR1308201:811020.606357	3	3
ERR1308201:816580.620594	3	3
ERR1308201:817050.601728	3	3
ERR1308201:818640.621828	3	3
ERR1308201:821450.631566	3	3
ERR1308201:826630.608710	3	3
ERR1308201:84190.619352	3	3
ERR1308201:849710.628660	3	3
ERR1308201:852650.605069	3	3
ERR1308201:860670.629819	3	3
ERR1308201:863160.608652	3	3
ERR1308201:865990.612645	3	3
ERR1308201:873270.600945	3	3
ERR1308201:87370.607014	3	3
ERR1308201:88790.608024	3	3
ERR1308201:888550.609105	3	3
ERR1308201:899130.617045	3	3
ERR1308201:899640.603429	3	3
ERR1308201:919320.607076	3	3
ERR1308201:927100.621305	3	3
ERR1308201:929900.609238	3	3
ERR1308201:945820.604305	3	3
ERR1308201:955600.628129	3	3
ERR1308201:96610.625610	3	3
ERR1308201:975220.601240	3	3
ERR1308201:975800.607682	3	3
ERR1308201:1001110.610114	2	2
ERR1308201:1001560.615052	2	2
ERR1308201:1005820.603414	2	2
ERR1308201:100760.601978	2	2
ERR1308201:1007870.620336	2	2
ERR1308201:1007940.608525	2	2
ERR1308201:100870.614432	2	2
ERR1308201:1008890.609485	2	2
ERR1308201:1009050.604806	2	2
