OTU	ERR0000001	classification
ERR1:1000.662622	203	Eukaryota;Chordata;Amphibia;Caudata;Salamandridae;Taricha;Taricha granulosa
ERR1:1668790.682878	203	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Tacua;Tacua speciosa
ERR1:100030.679239	196	Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Iwatanemertes;Iwatanemertes piperata
ERR1:1047250.690024	195	Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Perdix;Perdix hodgsoniae
ERR1:1886930.637287	195	Eukaryota;Annelida;Polychaeta;Terebellida;Pectinariidae;Pectinaria;Pectinaria granulata
ERR1:100510.669317	189	Eukaryota;Mollusca;Gastropoda;Onchidiidae;Onchidella;Onchidella celtica
ERR1:758010.629570	183	Eukaryota;Chordata;Squamata;Eublepharidae;Goniurosaurus;Goniurosaurus luii
ERR1:1111480.716823	178	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:716300.706878	178	Eukaryota;Arthropoda;Arachnida;Araneae;Dysderidae;Dysdera;Dysdera lusitanica
ERR1:284040.694949	177	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:859780.673071	177	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:589780.714344	174	Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Alcyoniidae;Sarcophyton;Sarcophyton tumulosum
ERR1:1531700.671845	173	Eukaryota;Arthropoda;Insecta;Ephemeroptera;Baetidae;Baetis;Baetis rhodani
ERR1:1015420.668892	171	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:21490.617889	171	Eukaryota;Mollusca;Gastropoda;Onchidiidae;Onchidella;Onchidella celtica
ERR1:1198150.711782	170	Eukaryota;Arthropoda;Insecta;Mantodea;Empusidae;Idolomorpha;Idolomorpha dentifrons
