OTU	amplicon	ERR0000001	total
816	ERR1:1018270.696133	1	1
817	ERR1:1018340.607303	1	1
820	ERR1:1018420.705746	1	1
822	ERR1:101850.647159	1	1
823	ERR1:1018510.631152	1	1
825	ERR1:1018530.672348	1	1
826	ERR1:1018540.651561	2	2
834	ERR1:101880.649459	1	1
840	ERR1:1018930.677276	1	1
842	ERR1:101900.604355	1	1
848	ERR1:1019210.720785	1	1
851	ERR1:1019330.632339	1	1
856	ERR1:1019440.718881	1	1
861	ERR1:1019730.616361	1	1
862	ERR1:1019750.648515	2	2
864	ERR1:1019810.663719	1	1
866	ERR1:1019840.717281	1	1
868	ERR1:1019910.684514	1	1
871	ERR1:1019980.702483	2	2
873	ERR1:1020020.629211	1	1
874	ERR1:1020060.657816	1	1
876	ERR1:1020140.697113	1	1
879	ERR1:1020210.665859	1	1
881	ERR1:1020260.661852	1	1
884	ERR1:1020500.712631	1	1
886	ERR1:1020530.725914	1	1
888	ERR1:1020650.671024	1	1
892	ERR1:1020730.655358	1	1
893	ERR1:1020740.601982	1	1
899	ERR1:102100.626860	1	1
900	ERR1:1021000.645385	1	1
901	ERR1:1021070.729627	1	1
902	ERR1:1021080.706157	1	1
906	ERR1:1021140.718146	1	1
907	ERR1:1021150.700815	1	1
910	ERR1:1021200.709381	2	2
911	ERR1:1021210.696003	1	1
912	ERR1:1021220.607923	2	2
914	ERR1:1021260.608882	1	1
917	ERR1:102130.625023	1	1
918	ERR1:1021380.680419	1	1
919	ERR1:1021390.697145	2	2
923	ERR1:1021500.601452	1	1
924	ERR1:1021590.618097	1	1
925	ERR1:102160.603655	1	1
926	ERR1:1021610.698677	1	1
929	ERR1:102170.614487	1	1
930	ERR1:1021720.606927	1	1
931	ERR1:1021730.708880	1	1
932	ERR1:1021750.642522	1	1
933	ERR1:1021770.694850	1	1
937	ERR1:1021860.685724	1	1
942	ERR1:1022030.605259	1	1
943	ERR1:1022080.607467	1	1
944	ERR1:1022090.606915	1	1
945	ERR1:1022140.684010	1	1
950	ERR1:1022260.635203	2	2
951	ERR1:1022270.691115	1	1
953	ERR1:1022310.618320	1	1
956	ERR1:1022400.660295	2	2
960	ERR1:1022520.668458	1	1
961	ERR1:1022580.630036	1	1
962	ERR1:102260.651979	1	1
963	ERR1:1022620.607838	1	1
965	ERR1:102270.659600	1	1
966	ERR1:1022710.634213	1	1
970	ERR1:1022840.707083	1	1
972	ERR1:1022870.630162	1	1
973	ERR1:1022880.676937	2	2
974	ERR1:102290.709841	2	2
975	ERR1:1022920.614507	2	2
976	ERR1:102300.652482	1	1
978	ERR1:1023090.613449	1	1
979	ERR1:1023110.692383	1	1
980	ERR1:1023190.603851	1	1
981	ERR1:1023230.614742	1	1
982	ERR1:1023250.699162	1	1
988	ERR1:1023360.691419	1	1
989	ERR1:1023370.647652	1	1
992	ERR1:1023410.621896	1	1
995	ERR1:1023470.630926	1	1
996	ERR1:1023500.695918	1	1
997	ERR1:1023550.645946	2	2
1001	ERR1:1023650.631812	1	1
1003	ERR1:1023720.653315	1	1
1004	ERR1:1023790.668506	1	1
1005	ERR1:1023800.688204	1	1
